French	3	100133595	3855
			5)	itu	278	83605	6.5272686E-4
			6)	its	373	65599	5.121491E-4
			7)	ita	383	63602	4.9655803E-4
			8)	ito	575	41849	3.2672647E-4
			9)	itr	1486	9969	7.783068E-5
			10)	itè	1829	6020	4.699977E-5
			11)	itt	2432	2188	1.7082308E-5
			12)	it 	3464	395	3.083872E-6
			13)	itc	3469	391	3.0526428E-6
		5)	is	0	0	0.0
			1)	is_	45	254594	0.0019876843
			2)	iss	117	162445	0.001268252
			3)	ise	167	122997	9.602708E-4
			4)	ist	192	110264	8.6086086E-4
			5)	isa	254	89607	6.9958606E-4
			6)	isi	394	62642	4.8906304E-4
			7)	isé	658	37188	2.903368E-4
			8)	iso	667	36632	2.8599592E-4
			9)	isp	743	32408	2.5301802E-4
			10)	isc	824	28445	2.2207781E-4
			11)	ism	846	27464	2.1441888E-4
			12)	isl	993	21871	1.7075281E-4
			13)	isq	1295	13173	1.0284517E-4
			14)	isf	1682	7290	5.6915E-5
			15)	isà	2193	3322	2.5935753E-5
			16)	isr	2308	2707	2.1134281E-5
			17)	isj	2827	1086	8.478695E-6
			18)	isu	2998	845	6.5971435E-6
			19)	isè	3263	536	4.184697E-6
			20)	is 	3304	499	3.895828E-6
		6)	ie	0	0	0.0
			1)	ien	67	209691	0.0016371143
			2)	ie_	144	141218	0.0011025271
			3)	ier	178	116196	9.071736E-4
			4)	ieu	239	93250	7.2802795E-4
			5)	ies	591	40951	3.1971553E-4
			6)	iel	725	33328	2.602007E-4
			7)	iem	1888	5492	4.2877527E-5
			8)	iez	2037	4319	3.37196E-5
			9)	ied	2352	2538	1.9814852E-5
			10)	iei	2640	1465	1.1437651E-5
			11)	iet	2689	1361	1.0625695E-5
			12)	ie 	3568	335	2.6154355E-6
		7)	in	0	0	0.0
			1)	int	78	196073	0.0015307949
			2)	ine	187	112637	8.7938755E-4
			3)	ins	191	110713	8.643663E-4
			4)	in_	287	82379	6.4315513E-4
			5)	ina	329	73868	5.767075E-4
			6)	ini	381	64106	5.0049287E-4
			7)	inc	395	62629	4.889615E-4
			8)	ind	474	52690	4.1136506E-4
			9)	inf	703	34303	2.678128E-4
			10)	inu	1015	21101	1.6474121E-4
			11)	inv	1058	19540	1.5255406E-4
			12)	iné	1120	17513	1.3672873E-4
			13)	ino	1574	8798	6.8688365E-5
			14)	inq	1613	8290	6.472227E-5
			15)	ing	1631	8047	6.282511E-5
			16)	inn	1903	5402	4.2174874E-5
			17)	inj	2443	2162	1.687932E-5
			18)	inh	2822	1090	8.509925E-6
			19)	inl	2907	958	7.479365E-6
			20)	in 	3602	319	2.4905194E-6
			21)	inœ	3744	243	1.8971667E-6
		8)	iv	0	0	0.0
			1)	ive	105	175196	0.0013678025
			2)	ivi	647	37800	2.9511482E-4
			3)	ivr	1252	14292	1.1158151E-4
			4)	iva	1354	11763	9.183692E-5
			5)	ivé	1611	8309	6.487061E-5
			6)	ivo	2350	2551	1.9916346E-5
		9)	iè	0	0	0.0
			1)	ièr	155	132687	0.0010359233
			2)	ièm	972	22460	1.7535129E-4
			3)	ièc	2292	2761	2.1555874E-5
			4)	ièv	2451	2131	1.6637294E-5
			5)	ièg	2504	1900	1.4833814E-5
			6)	ièt	2732	1251	9.766895E-6
			7)	ièn	3587	324	2.5295556E-6
		10)	il	0	0	0.0
			1)	il_	184	113468	8.858754E-4
			2)	ili	216	102058	7.967944E-4
			3)	ill	229	97418	7.6056866E-4
			4)	ile	698	34726	2.7111528E-4
			5)	ils	927	24366	1.9023195E-4
			6)	ila	1563	8941	6.98048E-5
			7)	ilà	2140	3602	2.8121787E-5
			8)	ilo	2323	2663	2.0790761E-5
			9)	ilé	2604	1594	1.2444789E-5
			10)	ilè	3159	637	4.973231E-6
			11)	ilm	3380	446	3.4820425E-6
			12)	ilt	3600	320	2.4983265E-6
			13)	ilu	3669	277	2.162614E-6
		11)	im	0	0	0.0
			1)	imp	190	110796	8.650143E-4
			2)	ime	356	69058	5.3915445E-4
			3)	imi	660	37030	2.8910322E-4
			4)	ima	948	22935	1.7905975E-4
			5)	imm	1219	14872	1.16109724E-4
			6)	imé	1662	7541	5.8874626E-5
			7)	imu	1911	5320	4.153468E-5
			8)	imo	1934	5108	3.987954E-5
			9)	imê	2032	4361	3.4047505E-5
			10)	im_	3063	773	6.03502E-6
			11)	imb	3615	312	2.4358683E-6
		12)	id	0	0	0.0
			1)	ide	200	107281	8.375718E-4
			2)	idé	637	38067	2.9719935E-4
			3)	idi	970	22476	1.754762E-4
			4)	ida	1203	15272	1.1923263E-4
			5)	idè	1947	4989	3.895047E-5
			6)	idu	2061	4126	3.2212796E-5
			7)	ids	2490	1934	1.5099261E-5
			8)	ido	3020	817	6.37854E-6
			9)	id_	3472	390	3.0448355E-6
		13)	ic	0	0	0.0
			1)	ica	277	83772	6.5403065E-4
			2)	ici	300	79721	6.224034E-4
			3)	ice	492	50841	3.9692945E-4
			4)	icu	523	47369	3.698226E-4
			5)	ict	966	22599	1.764365E-4
			6)	icl	1476	10212	7.972785E-5
			7)	ic_	1515	9565	7.467654E-5
			8)	ico	1582	8678	6.775149E-5
			9)	ich	1713	7045	5.500222E-5
			10)	ics	2023	4423	3.4531557E-5
			11)	icy	2893	970	7.5730522E-6
			12)	icr	3241	551	4.301806E-6
		14)	ia	0	0	0.0
			1)	ial	353	69219	5.4041145E-4
			2)	iat	551	45133	3.5236555E-4
			3)	ian	1250	14349	1.1202652E-4
			4)	iai	1293	13220	1.03212114E-4
			5)	iau	1566	8863	6.919584E-5
			6)	iar	1887	5511	4.3025866E-5
			7)	iab	1918	5296	4.1347303E-5
			8)	ias	2127	3705	2.8925937E-5
			9)	ia_	2392	2327	1.8167519E-5
			10)	iag	3054	783	6.1130927E-6
			11)	iam	3569	335	2.6154355E-6
		15)	if	0	0	0.0
			1)	ifi	366	67260	5.25117E-4
			2)	iff	619	39195	3.0600597E-4
			3)	if_	654	37247	2.907974E-4
			4)	ifs	780	30297	2.3653687E-4
			5)	ife	1954	4914	3.8364928E-5
			6)	ifo	2543	1761	1.3748603E-5
			7)	ifé	2583	1645	1.284296E-5
			8)	ifa	3358	461	3.5991516E-6
		16)	ig	0	0	0.0
			1)	ign	397	62521	4.8811836E-4
			2)	ige	1038	20201	1.5771468E-4
			3)	igi	1364	11609	9.06346E-5
			4)	igr	1415	10943	8.5434964E-5
			5)	igu	1453	10481	8.1828E-5
			6)	iga	1502	9725	7.59257E-5
			7)	igé	1873	5658	4.4173536E-5
			8)	igo	2581	1647	1.2858574E-5
			9)	igt	3360	460	3.5913445E-6
			10)	igè	3459	397	3.0994863E-6
			11)	igm	3672	276	2.1548067E-6
		17)	ib	0	0	0.0
