Dutch	3	4917128	1837
			5)	_oo	148	7129	0.0010242923
			6)	_of	355	2876	4.1322273E-4
			7)	_or	886	995	1.4296127E-4
			8)	_ou	1647	268	3.850615E-5
			9)	_og	1705	245	3.520152E-5
		11)	_w	0	0	0.0
			1)	_we	52	15579	0.0022383856
			2)	_wi	64	13716	0.0019707102
			3)	_wa	86	10856	0.0015597865
			4)	_wo	92	10539	0.00151424
		12)	_z	0	0	0.0
			1)	_zi	59	14885	0.002138672
			2)	_zo	104	9738	0.0013991526
			3)	_ze	183	5963	8.567619E-4
			4)	_za	280	3535	5.0790765E-4
			5)	_zu	550	1886	2.7097986E-4
			6)	_zw	1405	387	5.5604032E-5
		13)	_a	0	0	0.0
			1)	_aa	66	13416	0.0019276064
			2)	_al	70	12830	0.0018434102
			3)	_af	298	3357	4.8233263E-4
			4)	_an	308	3285	4.719877E-4
			5)	_ac	560	1855	2.6652578E-4
			6)	_am	602	1715	2.4641064E-4
			7)	_ar	694	1428	2.0517457E-4
			8)	_ad	1116	629	9.037451E-5
			9)	_au	1148	596	8.563308E-5
			10)	_as	1224	523	7.514447E-5
			11)	_ag	1507	332	4.770165E-5
			12)	_ab	1673	256	3.6781996E-5
			13)	_ak	1773	222	3.1896885E-5
		14)	_s	0	0	0.0
			1)	_st	81	11699	0.0016809085
			2)	_so	383	2677	3.8463046E-4
			3)	_sp	458	2282	3.27877E-4
			4)	_sc	470	2226	3.1983093E-4
			5)	_sa	600	1716	2.4655432E-4
			6)	_sl	686	1459	2.0962863E-4
			7)	_si	847	1066	1.5316253E-4
			8)	_se	940	891	1.2801858E-4
			9)	_su	1123	622	8.9368754E-5
			10)	_sy	1167	579	8.319053E-5
			11)	_sn	1194	553	7.9454854E-5
		15)	_n	0	0	0.0
			1)	_ni	84	11226	0.0016129479
			2)	_na	141	7440	0.0010689767
			3)	_no	198	5400	7.758702E-4
			4)	_nu	503	2102	3.0201467E-4
			5)	_ne	524	1989	2.8577886E-4
		16)	_r	0	0	0.0
			1)	_re	110	9424	0.0013540372
			2)	_ri	516	2027	2.9123868E-4
			3)	_ra	622	1635	2.3491625E-4
			4)	_ro	890	992	1.4253023E-4
			5)	_ru	1133	612	8.7931956E-5
		17)	_c	0	0	0.0
			1)	_co	120	8546	0.0012278864
			2)	_cr	1097	653	9.3822826E-5
			3)	_cu	1376	401	5.7615547E-5
			4)	_ch	1393	395	5.675347E-5
			5)	_ca	1501	337	4.8420046E-5
			6)	_ce	1592	288	4.1379746E-5
		18)	_u	0	0	0.0
			1)	_ui	138	7610	0.0010934023
			2)	_u_	367	2787	4.0043524E-4
			3)	_uw	1058	697	1.0014473E-4
			4)	_un	1587	290	4.1667103E-5
			5)	_uu	1727	236	3.39084E-5
		19)	_p	0	0	0.0
			1)	_pr	166	6381	9.1681996E-4
			2)	_pl	403	2589	3.7198665E-4
			3)	_po	459	2270	3.2615283E-4
			4)	_pa	475	2218	3.186815E-4
			5)	_pe	654	1551	2.2284717E-4
			6)	_pu	774	1194	1.7155352E-4
		20)	_l	0	0	0.0
			1)	_la	200	5338	7.6696207E-4
			2)	_li	248	4183	6.01012E-4
			3)	_le	336	2995	4.303206E-4
			4)	_lo	907	962	1.3821984E-4
			5)	_lu	1503	336	4.8276368E-5
		21)	_k	0	0	0.0
			1)	_ka	223	4675	6.7170244E-4
			2)	_ku	278	3546	5.094881E-4
			3)	_ko	315	3234	4.6466006E-4
			4)	_kr	661	1531	2.1997358E-4
			5)	_kw	670	1506	2.1638158E-4
