Portuguese	2	276966	208
		14)	et	171	313	9.210921E-4
		15)	ed	172	310	9.1226376E-4
		16)	ep	181	277	8.1515184E-4
	5)	_	0	0	0.0
		1)	_d	5	7034	0.020699559
		2)	_a	6	5676	0.016703255
		3)	_e	9	4627	0.013616272
		4)	_p	10	4398	0.012942375
		5)	_c	17	3290	0.009681767
		6)	_s	23	2955	0.008695934
		7)	_o	30	2552	0.0075099906
		8)	_n	32	2383	0.0070126597
		9)	_q	41	2114	0.0062210504
		10)	_r	48	1783	0.005246988
		11)	_m	49	1766	0.0051969606
		12)	_t	51	1647	0.004846769
		13)	_i	74	1206	0.0035490002
		14)	_u	81	1099	0.0032341222
		15)	_f	82	1095	0.003222351
		16)	_v	100	712	0.002095264
		17)	_l	127	496	0.001459622
		18)	_é	134	464	0.0013654529
		19)	_à	139	443	0.0013036544
		20)	_g	147	410	0.0012065424
		21)	_b	177	284	8.357513E-4
		22)	_h	189	256	7.533533E-4
		23)	_j	197	243	7.1509706E-4
	6)	d	0	0	0.0
		1)	de	7	5123	0.015075894
		2)	do	19	3174	0.009340404
		3)	da	21	3131	0.009213864
		4)	di	78	1164	0.0034254033
	7)	r	0	0	0.0
		1)	re	13	3707	0.010908909
		2)	ra	20	3147	0.009260949
		3)	r_	28	2766	0.008139747
		4)	ri	37	2248	0.0066153836
		5)	ro	56	1566	0.0046084034
		6)	rt	104	661	0.0019451817
		7)	rm	120	558	0.0016420748
		8)	rr	155	375	0.0011035448
		9)	rd	175	284	8.357513E-4
		10)	rê	188	256	7.533533E-4
		11)	rc	191	251	7.386394E-4
		12)	ru	193	247	7.268682E-4
		13)	rá	198	241	7.092115E-4
	8)	n	0	0	0.0
		1)	nt	14	3674	0.010811797
		2)	na	60	1471	0.0043288385
		3)	no	71	1234	0.0036313983
		4)	nc	73	1212	0.003566657
		5)	ns	89	899	0.002645565
		6)	nd	91	890	0.0026190798
		7)	nh	112	601	0.0017686146
		8)	ni	125	520	0.0015302489
		9)	ne	138	446	0.0013124828
		10)	nã	141	432	0.0012712837
		11)	nç	176	284	8.357513E-4
	9)	t	0	0	0.0
		1)	te	16	3348	0.0098524485
		2)	ta	26	2799	0.008236859
		3)	to	33	2320	0.0068272646
		4)	ti	50	1716	0.0050498215
		5)	tr	70	1259	0.003704968
		6)	tu	114	592	0.0017421296
		7)	tó	185	267	7.8572397E-4
	10)	c	0	0	0.0
		1)	co	18	3287	0.009672939
		2)	ci	54	1581	0.0046525453
		3)	ca	57	1564	0.004602518
		4)	ce	95	843	0.0024807688
		5)	ct	107	641	0.001886326
		6)	cu	163	338	9.946618E-4
		7)	cr	179	278	8.180946E-4
	11)	m	0	0	0.0
		1)	m_	25	2854	0.008398713
		2)	me	36	2256	0.006638926
		3)	ma	46	1883	0.005541267
		4)	mo	68	1288	0.0037903087
		5)	mp	98	761	0.0022394604
		6)	mi	118	566	0.0016656171
		7)	mu	161	340	0.0010005473
		8)	mb	169	315	9.269777E-4
	12)	q	0	0	0.0
		1)	qu	31	2509	0.007383451
	13)	ã	0	0	0.0
		1)	ão	34	2305	0.0067831227
	14)	u	0	0	0.0
		1)	ue	42	2040	0.0060032844
		2)	um	69	1269	0.0037343958
		3)	ua	97	786	0.0023130302
		4)	ur	99	752	0.0022129754
		5)	u_	111	603	0.0017745001
		6)	ui	122	549	0.0016155897
		7)	ut	124	534	0.0015714479
		8)	un	126	513	0.0015096494
		9)	ul	166	327	9.6229115E-4
		10)	us	167	326	9.5934834E-4
		11)	ud	203	226	6.6506973E-4
	15)	p	0	0	0.0
		1)	po	43	1973	0.0058061173
		2)	pr	45	1908	0.0056148362
		3)	pe	58	1558	0.004584861
		4)	pa	75	1198	0.003525458
		5)	pl	170	314	9.240349E-4
	16)	i	0	0	0.0
		1)	ia	44	1961	0.005770804
		2)	is	47	1869	0.0055000675
		3)	in	55	1568	0.004614289
		4)	io	63	1337	0.0039345054
		5)	ic	64	1327	0.0039050775
		6)	id	67	1289	0.0037932517
		7)	it	76	1186	0.0034901446
		8)	im	88	912	0.0026838211
		9)	ir	94	845	0.0024866546
		10)	iv	101	685	0.0020158086
		11)	ig	150	396	0.0011653434
		12)	iz	158	351	0.001032918
		13)	if	178	282	8.2986575E-4
		14)	il	184	268	7.886667E-4
		15)	i_	186	265	7.7983836E-4
		16)	iç	187	259	7.6218165E-4
		17)	ie	196	245	7.209827E-4
	17)	ç	0	0	0.0
		1)	çã	72	1219	0.0035872567
		2)	çõ	144	419	0.0012330274
		3)	ça	190	253	7.4452494E-4
	18)	l	0	0	0.0
		1)	la	77	1167	0.0034342317
		2)	li	85	1005	0.0029575003
		3)	l_	92	869	0.0025572814
		4)	le	115	592	0.0017421296
		5)	lo	135	463	0.00136251
		6)	lh	160	341	0.0010034902
		7)	lt	174	293	8.622364E-4
		8)	lu	192	250	7.356966E-4
		9)	lí	205	213	6.268135E-4
	19)	v	0	0	0.0
		1)	ve	83	1067	0.0031399531
		2)	va	105	658	0.0019363534
		3)	vi	106	657	0.0019334106
		4)	vo	108	632	0.0018598409
	20)	õ	0	0	0.0
		1)	õe	102	681	0.0020040376
	21)	h	0	0	0.0
		1)	ho	113	601	0.0017686146
		2)	ha	159	345	0.0010152613
	22)	f	0	0	0.0
		1)	fi	116	581	0.0017097589
		2)	fo	132	474	0.0013948807
		3)	fe	140	436	0.0012830548
		4)	fa	162	338	9.946618E-4
	23)	g	0	0	0.0
		1)	gu	119	562	0.0016538459
		2)	go	129	486	0.0014301941
		3)	gi	136	455	0.0013389678
		4)	ga	142	422	0.0012418558
		5)	gr	143	420	0.0012359703
	24)	é	0	0	0.0
		1)	é_	128	494	0.0014537364
		2)	ém	194	246	7.239254E-4
	25)	ê	0	0	0.0
		1)	ên	149	403	0.0011859429
	26)	b	0	0	0.0
		1)	br	154	378	0.0011123732
		2)	ba	157	367	0.0010800026
		3)	be	204	215	6.3269906E-4
	27)	á	0	0	0.0
		1)	á_	156	370	0.001088831
		2)	ár	195	246	7.239254E-4
	28)	à	0	0	0.0
		1)	à_	165	327	9.6229115E-4
	29)	ó	0	0	0.0
		1)	ór	180	277	8.1515184E-4
	30)	z	0	0	0.0
		1)	za	183	270	7.945523E-4
		2)	ze	207	204	6.0032844E-4
	31)	í	0	0	0.0
		1)	ít	199	239	7.0332596E-4
	32)	j	0	0	0.0
		1)	ju	202	228	6.709553E-4
		2)	je	206	206	6.06214E-4
