Dutch	4	173035447
					1)	_vore	0.10626555	3331
					2)	_vori	0.22331397	7000
					3)	_vorm	0.60888153	19086
					4)	_vord	0.061411344	1925
					5)	Esc	1.2760799E-4	4
				3)	_vol	0.119006865	75569
					1)	_volg	0.35929996	26936
					2)	_volk	0.18223776	13662
					3)	_volt	0.02475723	1856
					4)	_vold	0.14965051	11219
					5)	_voll	0.19959183	14963
					6)	_volw	0.018101057	1357
					7)	_vol_	0.013472415	1010
					8)	_volm	0.0052689146	395
					9)	_vols	0.042218015	3165
					10)	_volh	0.0052689146	395
					11)	Esc	1.3339025E-4	10
				4)	_voe	0.035992295	22855
					1)	_voer	0.43740156	9999
					2)	_voet	0.1363517	3117
					3)	_voel	0.08337708	1906
					4)	_voed	0.2828084	6465
					5)	_voeg	0.05984252	1368
					6)	Esc	2.1872266E-4	5
				5)	_von	0.0030645814	1946
					1)	_vond	0.99927586	1380
					2)	Esc	7.2411296E-4	1
				6)	_vog	0.0010173277	646
					1)	_voge	0.9984544	646
					2)	Esc	0.001545595	1
				7)	Esc	9.448863E-6	6
			6)	_vl	0.006246772	15578
				1)	_vlo	0.12155051	1894
					1)	_vloo	0.43386245	820
					2)	_vloe	0.3084656	583
					3)	_vlot	0.25608465	484
					4)	Esc	0.0015873016	3
				2)	_vli	0.15954307	2486
					1)	_vlie	0.99959236	2452
					2)	Esc	4.0766408E-4	1
				3)	_vla	0.38011807	5923
					1)	_vlak	0.8544881	4874
					2)	_vlag	0.14516129	828
					3)	Esc	3.5063113E-4	2
				4)	_vlu	0.26389423	4112
					1)	_vluc	0.9997517	4026
					2)	Esc	2.483238E-4	1
				5)	_vle	0.074573226	1162
					1)	_vlee	0.99897224	972
					2)	Esc	0.0010277493	1
				6)	Esc	3.2088306E-4	5
			7)	_vó	0.0015751264	3928
				1)	_vóó	0.9997455	3928
					1)	_vóór	0.9997455	3928
					2)	Esc	2.5451768E-4	1
				2)	Esc	2.5451768E-4	1
			8)	_vu	7.129773E-4	1778
				1)	_vuu	0.38613233	607
					1)	_vuur	0.99835527	607
					2)	Esc	0.0016447369	1
				2)	_vul	0.38613233	607
					1)	_vull	0.9980276	506
					2)	Esc	0.0019723866	1
				3)	_vui	0.22582698	355
				4)	Esc	0.001908397	3
			9)	Esc	3.207997E-6	8
		3)	_d	0.1556576	3705861
			1)	_de	0.5988214	2218865
				1)	_de_	0.8667578	1922572
				2)	_dec	0.0023163771	5138
					1)	_dece	0.9997865	4683
					2)	Esc	2.1349273E-4	1
				3)	_dez	0.06091693	135121
					1)	_deze	0.9999926	135117
					2)	Esc	7.4009386E-6	1
				4)	_deb	0.010962892	24317
					1)	_deba	0.99995863	24181
					2)	Esc	4.1353072E-5	1
				5)	_den	0.009524286	21126
					1)	_denk	0.95430094	20047
					2)	_den_	0.045603845	958
					3)	Esc	9.520636E-5	2
				6)	_der	0.013250867	29392
