French	3	26599942	2848
			8)	_c_	1116	3751	1.0076085E-4
			9)	_cu	1216	3114	8.36495E-5
			10)	_cô	1740	1394	3.744618E-5
			11)	_cé	2159	696	1.8696228E-5
			12)	_cy	2401	437	1.1738867E-5
		5)	_p	0	0	0.0
			1)	_pa	25	134873	0.003623012
			2)	_pr	27	132060	0.0035474482
			3)	_po	34	117795	0.003164256
			4)	_pe	111	46530	0.0012499073
			5)	_pl	135	39684	0.0010660073
			6)	_pu	463	12231	3.28554E-4
			7)	_pé	1085	3934	1.0567667E-4
			8)	_pê	1425	2206	5.9258447E-5
			9)	_pi	1477	2070	5.560516E-5
			10)	_ph	1544	1917	5.1495215E-5
			11)	_pè	2664	273	7.3334345E-6
		6)	_e	0	0	0.0
			1)	_et	26	134180	0.0036043965
			2)	_en	31	121530	0.0032645871
			3)	_es	88	54864	0.0014737785
			4)	_eu	166	33457	8.987352E-4
			5)	_ex	209	27529	7.394949E-4
			6)	_ef	524	10510	2.823238E-4
			7)	_el	560	9788	2.6292913E-4
			8)	_em	1111	3778	1.01486134E-4
			9)	_er	1977	973	2.6137111E-5
			10)	_ea	2207	641	1.7218796E-5
		7)	_à	0	0	0.0
			1)	_à_	35	115201	0.003094575
		8)	_n	0	0	0.0
			1)	_no	36	114012	0.0030626357
			2)	_ne	131	40119	0.0010776925
			3)	_na	413	13508	3.6285724E-4
			4)	_né	479	11673	3.1356476E-4
			5)	_ni	741	7092	1.9050812E-4
			6)	_n_	851	5753	1.5453938E-4
			7)	_nu	1388	2369	6.363702E-5
			8)	_ny	1810	1245	3.3443685E-5
		9)	_a	0	0	0.0
			1)	_au	42	97797	0.002627062
			2)	_av	124	41335	0.0011103571
			3)	_a_	179	31043	8.338894E-4
			4)	_ac	232	24698	6.634475E-4
			5)	_ap	306	18353	4.9300556E-4
			6)	_ai	382	14857	3.9909463E-4
			7)	_an	409	13653	3.667523E-4
			8)	_am	531	10401	2.7939578E-4
			9)	_ad	582	9238	2.4815483E-4
			10)	_af	590	9037	2.4275549E-4
			11)	_at	593	9001	2.4178844E-4
			12)	_al	597	8928	2.3982748E-4
			13)	_as	631	8330	2.2376377E-4
			14)	_ar	780	6451	1.7328933E-4
			15)	_ag	813	6077	1.6324279E-4
			16)	_ab	823	5975	1.6050282E-4
			17)	_aé	1758	1356	3.642541E-5
