Portuguese	3	2331026	1451
			5)	odi	1397	221	6.483646E-5
		8)	ol	0	0	0.0
			1)	olí	273	1913	5.6123146E-4
			2)	olv	413	1286	3.7728366E-4
			3)	olu	508	1080	3.1684784E-4
			4)	olo	640	815	2.3910278E-4
			5)	ole	684	748	2.1944648E-4
			6)	ola	916	499	1.4639544E-4
			7)	oli	958	471	1.3818087E-4
			8)	olh	1258	283	8.302587E-5
		9)	op	0	0	0.0
			1)	opo	347	1516	4.4476052E-4
			2)	ope	367	1458	4.277446E-4
			3)	opi	1189	317	9.3000715E-5
			4)	opu	1326	254	7.451792E-5
			5)	opt	1356	241	7.070401E-5
		10)	oc	0	0	0.0
			1)	oci	370	1444	4.236373E-4
			2)	oca	551	975	2.860432E-4
			3)	oce	580	914	2.6814718E-4
			4)	ocu	637	819	2.4027629E-4
			5)	ocr	1035	416	1.220451E-4
		11)	ov	0	0	0.0
			1)	ova	496	1120	3.2858297E-4
			2)	ovo	714	712	2.0888489E-4
			3)	ove	737	677	1.9861666E-4
		12)	oi	0	0	0.0
			1)	ois	515	1065	3.124472E-4
			2)	oi_	606	877	2.5729218E-4
			3)	oio	1135	350	1.0268218E-4
			4)	oia	1387	226	6.630335E-5
		13)	og	0	0	0.0
			1)	ogr	555	961	2.819359E-4
			2)	ogo	1299	265	7.774508E-5
		14)	oj	0	0	0.0
			1)	oje	592	897	2.6315975E-4
		15)	ot	0	0	0.0
			1)	ota	619	849	2.4907762E-4
			2)	ote	823	579	1.6986566E-4
			3)	oti	1231	295	8.65464E-5
		16)	oa	0	0	0.0
			1)	oas	1050	406	1.19111326E-4
		17)	oo	0	0	0.0
			1)	oop	1155	339	9.945502E-5
		18)	of	0	0	0.0
			1)	ofe	1254	285	8.361263E-5
		19)	oe	0	0	0.0
			1)	oer	1446	202	5.9262286E-5
	2)	_	0	0	0.0
		1)	_d	0	0	0.0
			1)	_de	2	37530	0.011010463
			2)	_da	23	12963	0.0038030543
			3)	_do	26	12734	0.0037358708
			4)	_di	70	6396	0.0018764434
			5)	_du	816	586	1.719193E-4
		2)	_q	0	0	0.0
			1)	_qu	6	23546	0.00690787
		3)	_c	0	0	0.0
			1)	_co	7	23018	0.0067529664
			2)	_ca	146	3297	9.672661E-4
			3)	_cr	345	1530	4.488678E-4
			4)	_ci	405	1307	3.834446E-4
			5)	_cu	536	1021	2.9953857E-4
			6)	_ce	591	901	2.6433327E-4
			7)	_cl	725	694	2.0360408E-4
			8)	_ch	782	630	1.8482792E-4
		4)	_a	0	0	0.0
			1)	_a_	9	22023	0.006461056
			2)	_as	60	6653	0.0019518415
			3)	_ao	111	3910	0.0011471066
			4)	_ap	118	3804	0.0011160086
			5)	_ac	131	3588	0.001052639
			6)	_al	133	3514	0.001030929
			7)	_an	255	2054	6.0259766E-4
			8)	_at	337	1565	4.59136E-4
			9)	_au	412	1288	3.778704E-4
			10)	_ag	457	1192	3.4970616E-4
			11)	_ad	471	1164	3.4149157E-4
			12)	_am	521	1055	3.0951342E-4
			13)	_ab	542	998	2.9279088E-4
			14)	_aq	571	933	2.7372135E-4
			15)	_ai	680	749	2.1973986E-4
			16)	_ar	780	632	1.8541467E-4
			17)	_af	831	573	1.6810538E-4
			18)	_av	1082	384	1.1265701E-4
			19)	_aj	1130	352	1.0326893E-4
		5)	_s	0	0	0.0
			1)	_se	14	16641	0.0048820972
			2)	_so	109	3947	0.0011579616
			3)	_su	149	3222	9.452628E-4
			4)	_si	208	2444	7.1701495E-4
			5)	_sa	403	1316	3.8608498E-4
			6)	_sã	489	1132	3.321035E-4
			7)	_só	889	521	1.5284975E-4
			8)	_sé	1363	238	6.982388E-5
		6)	_r	0	0	0.0
			1)	_re	18	14274	0.0041876724
			2)	_ra	712	717	2.1035178E-4
			3)	_ri	1007	436	1.2791266E-4
			4)	_ru	1355	242	7.099739E-5
		7)	_e	0	0	0.0
			1)	_e_	19	13457	0.003947983
			2)	_es	31	11112	0.0032600125
			3)	_em	45	8078	0.0023699047
			4)	_en	129	3593	0.0010541059
			5)	_ex	132	3569	0.0010470648
			6)	_eu	360	1489	4.3683933E-4
			7)	_el	401	1317	3.8637835E-4
			8)	_ef	582	911	2.6726702E-4
			9)	_ec	593	897	2.6315975E-4
			10)	_ev	802	603	1.7690672E-4
			11)	_er	1202	311	9.124045E-5
			12)	_eq	1362	239	7.0117254E-5
		8)	_p	0	0	0.0
			1)	_po	21	13131	0.0038523418
			2)	_pr	24	12919	0.0037901457
			3)	_pa	32	10781	0.0031629044
			4)	_pe	54	7383	0.0021660072
			5)	_pl	910	506	1.484491E-4
			6)	_pú	1038	416	1.220451E-4
			7)	_pu	1337	251	7.363779E-5
		9)	_o	0	0	0.0
			1)	_o_	29	12322	0.0036149994
			2)	_os	80	5590	0.001639981
			3)	_ou	206	2457	7.208289E-4
			4)	_ob	338	1564	4.5884264E-4
			5)	_or	380	1399	4.104353E-4
			6)	_op	590	901	2.6433327E-4
			7)	_on	1184	326	9.564111E-5
			8)	_oc	1225	300	8.8013294E-5
		10)	_u	0	0	0.0
			1)	_um	34	10365	0.0030408592
			2)	_ut	1046	410	1.20284836E-4
			3)	_un	1152	340	9.97484E-5
		11)	_n	0	0	0.0
			1)	_no	37	9462	0.0027759392
			2)	_na	87	5186	0.0015214565
			3)	_nã	91	5040	0.0014786234
			4)	_ne	139	3418	0.0010027648
			5)	_nu	631	828	2.4291669E-4
			6)	_ní	792	619	1.8160076E-4
			7)	_nó	988	450	1.3201994E-4
			8)	_nú	1339	250	7.334441E-5
		12)	_i	0	0	0.0
			1)	_in	52	7479	0.0021941713
			2)	_im	216	2380	6.982388E-4
			3)	_is	408	1298	3.8080418E-4
			4)	_ir	893	518	1.5196962E-4
			5)	_ig	985	451	1.3231332E-4
			6)	_id	1096	375	1.1001662E-4
		13)	_m	0	0	0.0
			1)	_ma	64	6566	0.0019263176
			2)	_me	92	4965	0.00145662
			3)	_mu	188	2658	7.797978E-4
			4)	_mo	268	1944	5.7032617E-4
			5)	_mi	389	1364	4.001671E-4
		14)	_t	0	0	0.0
			1)	_te	77	5823	0.001708338
			2)	_tr	144	3344	9.810549E-4
			3)	_to	152	3173	9.3088724E-4
			4)	_ta	158	3097	9.0859056E-4
			5)	_ti	700	733	2.1504582E-4
			6)	_tu	890	520	1.5255637E-4
			7)	_tê	1104	371	1.0884311E-4
			8)	_tã	1383	229	6.718348E-5
		15)	_é	0	0	0.0
			1)	_é_	86	5270	0.0015461002
		16)	_f	0	0	0.0
			1)	_fo	137	3432	0.001006872
			2)	_fa	140	3411	0.0010007111
			3)	_fi	265	1985	5.823546E-4
			4)	_fu	386	1373	4.0280752E-4
			5)	_fr	715	709	2.0800476E-4
			6)	_fe	799	611	1.7925374E-4
		17)	_à	0	0	0.0
			1)	_à_	159	3090	9.0653694E-4
			2)	_às	617	859	2.520114E-4
		18)	_v	0	0	0.0
			1)	_ve	223	2338	6.859169E-4
			2)	_vi	236	2197	6.4455066E-4
			3)	_vo	505	1087	3.189015E-4
			4)	_va	595	896	2.6286638E-4
			5)	_vá	1224	300	8.8013294E-5
		19)	_g	0	0	0.0
			1)	_gr	358	1490	4.371327E-4
			2)	_go	435	1228	3.6026776E-4
			3)	_ge	701	731	2.1445905E-4
			4)	_ga	957	472	1.3847425E-4
		20)	_l	0	0	0.0
			1)	_li	420	1252	3.6730882E-4
			2)	_le	446	1207	3.5410683E-4
			3)	_lu	626	838	2.4585048E-4
			4)	_lo	748	664	1.9480275E-4
			5)	_la	760	648	1.9010871E-4
			6)	_lh	1215	303	8.889343E-5
		21)	_j	0	0	0.0
			1)	_ju	502	1096	3.215419E-4
			2)	_já	550	977	2.8662995E-4
		22)	_h	0	0	0.0
			1)	_ho	565	946	2.7753526E-4
			2)	_há	655	799	2.3440874E-4
			3)	_ha	863	546	1.601842E-4
			4)	_hu	1124	356	1.0444244E-4
			5)	_hi	1412	215	6.307619E-5
		23)	_b	0	0	0.0
			1)	_ba	566	945	2.7724187E-4
			2)	_be	602	885	2.5963923E-4
			3)	_bo	997	441	1.2937954E-4
			4)	_br	1364	238	6.982388E-5
		24)	_ú	0	0	0.0
			1)	_úl	992	446	1.3084643E-4
			2)	_ún	1354	242	7.099739E-5
		25)	_á	0	0	0.0
			1)	_ág	1034	417	1.2233848E-4
			2)	_ár	1317	258	7.569143E-5
		26)	_â	0	0	0.0
			1)	_âm	1137	349	1.02388796E-4
		27)	_z	0	0	0.0
			1)	_zo	1277	274	8.038548E-5
	3)	d	0	0	0.0
		1)	de	0	0	0.0
			1)	de_	3	30633	0.008987037
			2)	des	61	6646	0.0019497878
			3)	der	180	2833	8.3113887E-4
			4)	dev	239	2191	6.427904E-4
			5)	dem	287	1839	5.395215E-4
			6)	dep	305	1746	5.1223737E-4
			7)	den	397	1338	3.9253928E-4
			8)	dec	398	1331	3.9048566E-4
			9)	def	693	741	2.1739284E-4
			10)	dei	706	724	2.1240542E-4
			11)	deb	720	701	2.0565774E-4
			12)	del	1099	373	1.09429864E-4
			13)	det	1106	368	1.0796297E-4
			14)	deq	1444	203	5.9555663E-5
		2)	do	0	0	0.0
			1)	do_	11	18724	0.005493203
			2)	dos	42	8766	0.0025717483
			3)	dor	514	1067	3.1303396E-4
			4)	dom	1053	405	1.18817945E-4
			5)	dop	1323	256	7.5104675E-5
			6)	doi	1375	233	6.835699E-5
			7)	doc	1423	208	6.102255E-5
		3)	da	0	0	0.0
			1)	da_	17	15106	0.0044317627
			2)	dad	65	6538	0.0019181031
			3)	das	76	5831	0.0017106851
			4)	dam	440	1215	3.5645385E-4
			5)	dar	531	1034	3.0335248E-4
			6)	dat	1369	235	6.8943744E-5
			7)	dan	1435	205	6.0142418E-5
		4)	di	0	0	0.0
			1)	dir	267	1973	5.788341E-4
			2)	dis	299	1786	5.239725E-4
			3)	did	437	1221	3.582141E-4
			4)	dia	530	1034	3.0335248E-4
			5)	dic	568	942	2.7636174E-4
			6)	dif	616	859	2.520114E-4
			7)	diz	649	803	2.3558225E-4
			8)	dim	1020	427	1.2527226E-4
			9)	div	1071	392	1.1500403E-4
			10)	diç	1087	380	1.114835E-4
			11)	dit	1201	313	9.1827205E-5
			12)	din	1342	248	7.2757655E-5
			13)	dig	1398	221	6.483646E-5
		5)	du	0	0	0.0
			1)	duz	887	524	1.5372988E-4
			2)	dua	1205	309	9.0653695E-5
			3)	dur	1220	301	8.830667E-5
			4)	duç	1229	296	8.6839784E-5
			5)	dut	1292	269	7.891859E-5
		6)	dã	0	0	0.0
			1)	dão	892	518	1.5196962E-4
		7)	dr	0	0	0.0
			1)	dro	1269	278	8.155899E-5
		8)	dm	0	0	0.0
			1)	dmi	1304	262	7.686494E-5
	4)	a	0	0	0.0
		1)	as	0	0	0.0
			1)	as_	4	27387	0.008034733
			2)	ass	174	2889	8.4756804E-4
			3)	ase	528	1043	3.0599287E-4
			4)	aso	739	675	1.9802991E-4
			5)	ast	964	466	1.3671398E-4
			6)	asp	1081	384	1.1265701E-4
			7)	asi	1151	340	9.97484E-5
		2)	ar	0	0	0.0
			1)	ar_	33	10641	0.0031218315
			2)	ara	56	7162	0.0021011706
			3)	art	231	2221	6.5159175E-4
			4)	are	310	1717	5.037294E-4
			5)	ari	322	1655	4.8554E-4
			6)	arm	754	659	1.9333587E-4
			7)	arg	784	626	1.8365441E-4
			8)	ará	970	463	1.3583385E-4
			9)	aro	1006	436	1.2791266E-4
			10)	arc	1158	339	9.945502E-5
			11)	ard	1273	276	8.097223E-5
			12)	ars	1288	271	7.950534E-5
			13)	arr	1406	218	6.395633E-5
		3)	aç	0	0	0.0
			1)	açã	44	8117	0.0023813464
			2)	açõ	222	2345	6.879706E-4
			3)	aça	1287	271	7.950534E-5
			4)	aço	1411	215	6.307619E-5
		4)	ad	0	0	0.0
			1)	ado	48	7915	0.002322084
			2)	ade	72	6296	0.0018471057
			3)	ada	94	4936	0.0014481121
			4)	adã	954	476	1.3964776E-4
			5)	adi	1075	389	1.14123904E-4
			6)	adr	1218	302	8.860005E-5
			7)	adm	1309	259	7.598481E-5
		5)	am	0	0	0.0
			1)	ame	69	6397	0.0018767368
			2)	am_	127	3657	0.0010728821
			3)	amb	199	2499	7.3315075E-4
			4)	amo	253	2064	6.0553144E-4
			5)	ama	459	1187	3.4823926E-4
			6)	ami	1348	246	7.21709E-5
		6)	ai	0	0	0.0
			1)	ais	82	5526	0.0016212049
			2)	ain	660	788	2.3118159E-4
			3)	aio	845	559	1.639981E-4
			4)	ai_	1351	245	7.1877526E-5
		7)	al	0	0	0.0
			1)	al_	83	5510	0.0016165108
			2)	ali	179	2834	8.3143223E-4
			3)	alm	362	1479	4.3390554E-4
			4)	alt	449	1205	3.5352007E-4
			5)	alh	484	1146	3.3621077E-4
			6)	alg	504	1088	3.1919486E-4
			7)	ala	522	1051	3.083399E-4
			8)	alq	1026	421	1.2351199E-4
			9)	alo	1083	383	1.1236364E-4
			10)	ale	1163	337	9.8868266E-5
			11)	alé	1259	283	8.302587E-5
			12)	alv	1341	249	7.305104E-5
		8)	an	0	0	0.0
			1)	ant	84	5441	0.0015962678
			2)	and	234	2206	6.471911E-4
			3)	ano	363	1478	4.3361215E-4
			4)	anç	428	1233	3.6173462E-4
			5)	anc	581	914	2.6814718E-4
			6)	ani	618	854	2.5054452E-4
			7)	ans	656	796	2.3352861E-4
			8)	ana	870	540	1.5842392E-4
			9)	anh	926	493	1.4463518E-4
			10)	ane	1014	433	1.2703252E-4
			11)	anu	1449	202	5.9262286E-5
		9)	ao	0	0	0.0
			1)	ao_	183	2779	8.152965E-4
			2)	aos	488	1139	3.3415714E-4
		10)	at	0	0	0.0
			1)	ati	190	2632	7.7216997E-4
			2)	ate	379	1410	4.136625E-4
			3)	ata	456	1193	3.4999952E-4
			4)	até	469	1166	3.4207833E-4
			5)	ató	492	1131	3.3181012E-4
			6)	atr	716	708	2.0771137E-4
			7)	atu	741	673	1.9744315E-4
			8)	ato	761	647	1.8981534E-4
		11)	ac	0	0	0.0
			1)	act	251	2078	6.0963875E-4
			2)	aci	326	1635	4.7967245E-4
			3)	aco	445	1207	3.5410683E-4
			4)	ace	627	836	2.452637E-4
			5)	acç	895	516	1.5138286E-4
			6)	aca	1170	334	9.798814E-5
			7)	acr	1440	204	5.984904E-5
		12)	ap	0	0	0.0
			1)	apr	364	1473	4.3214526E-4
			2)	ape	498	1115	3.2711608E-4
			3)	apo	729	689	2.0213719E-4
			4)	apl	790	621	1.8218752E-4
			5)	apa	915	500	1.4668882E-4
			6)	api	1328	254	7.451792E-5
		13)	ab	0	0	0.0
			1)	aba	404	1307	3.834446E-4
			2)	abe	556	959	2.8134917E-4
			3)	abi	643	810	2.3763589E-4
			4)	abo	698	738	2.1651271E-4
			5)	abr	1310	259	7.598481E-5
		14)	aq	0	0	0.0
			1)	aqu	452	1197	3.5117305E-4
		15)	aí	0	0	0.0
			1)	aís	463	1177	3.4530548E-4
		16)	az	0	0	0.0
			1)	aze	576	922	2.704942E-4
			2)	az_	862	547	1.6047758E-4
			3)	azo	1294	268	7.8625206E-5
			4)	azã	1430	207	6.0729173E-5
		17)	av	0	0	0.0
			1)	ava	757	656	1.9245573E-4
			2)	ave	769	638	1.8717494E-4
			3)	avo	1077	387	1.1353715E-4
			4)	avi	1147	343	1.0062853E-4
			5)	avé	1295	267	7.833183E-5
			6)	avr	1336	251	7.363779E-5
		18)	ag	0	0	0.0
			1)	age	778	633	1.8570805E-4
			2)	agr	808	598	1.7543983E-4
			3)	ago	976	460	1.3495372E-4
			4)	aga	1439	204	5.984904E-5
		19)	au	0	0	0.0
			1)	aut	796	613	1.798405E-4
			2)	aus	923	495	1.4522193E-4
			3)	aum	1282	272	7.9798716E-5
		20)	af	0	0	0.0
			1)	afi	951	478	1.4023451E-4
			2)	afe	1395	222	6.512984E-5
		21)	aj	0	0	0.0
			1)	aju	1126	355	1.0414906E-4
	5)	ã	0	0	0.0
		1)	ão	0	0	0.0
			1)	ão_	5	24236	0.0071103005
			2)	ãos	896	515	1.510895E-4
	6)	q	0	0	0.0
		1)	qu	0	0	0.0
			1)	que	8	22420	0.0065775267
			2)	qua	136	3446	0.0010109794
			3)	qui	339	1562	4.5825588E-4
			4)	quê	1265	280	8.214574E-5
	7)	e	0	0	0.0
		1)	en	0	0	0.0
			1)	ent	10	21841	0.0064076614
			2)	enh	123	3697	0.0010846171
			3)	end	226	2270	6.6596724E-4
			4)	ens	294	1804	5.292533E-4
			5)	enc	377	1420	4.1659625E-4
			6)	env	410	1295	3.7992405E-4
			7)	ena	411	1290	3.7845716E-4
			8)	enç	520	1057	3.1010018E-4
			9)	eno	573	927	2.7196106E-4
			10)	ene	1037	416	1.220451E-4
			11)	enq	1382	230	6.747686E-5
		2)	es	0	0	0.0
			1)	es_	15	15443	0.004530631
			2)	est	27	12548	0.0036813028
			3)	ess	71	6351	0.0018632414
			4)	ese	121	3705	0.0010869642
			5)	esp	134	3492	0.0010244747
			6)	esa	402	1316	3.8608498E-4
			7)	esc	419	1261	3.699492E-4
			8)	esm	564	946	2.7753526E-4
			9)	eso	820	582	1.7074578E-4
			10)	esi	1017	431	1.2644577E-4
			11)	esu	1146	343	1.0062853E-4
			12)	esf	1188	318	9.329409E-5
			13)	esã	1360	239	7.0117254E-5
			14)	esd	1392	223	6.542321E-5
		3)	em	0	0	0.0
			1)	em_	25	12884	0.0037798777
			2)	emo	155	3135	9.197389E-4
			3)	emp	203	2467	7.2376267E-4
			4)	ema	288	1837	5.389347E-4
			5)	eme	432	1231	3.611479E-4
			6)	emb	717	707	2.07418E-4
		4)	er	0	0	0.0
			1)	er_	46	7974	0.0023393934
			2)	era	120	3764	0.0011042735
			3)	eri	172	2939	8.622369E-4
			4)	ere	184	2724	7.991607E-4
			5)	erm	346	1518	4.4534728E-4
			6)	erc	378	1418	4.160095E-4
			7)	erv	387	1368	4.0134063E-4
			8)	erá	400	1321	3.8755187E-4
			9)	ern	493	1128	3.3093E-4
			10)	ert	506	1086	3.1860813E-4
			11)	ero	518	1064	3.121538E-4
			12)	err	603	884	2.5934583E-4
			13)	erg	642	812	2.3822265E-4
			14)	ers	681	748	2.1944648E-4
			15)	erd	691	743	2.1797958E-4
			16)	erã	1040	414	1.21458346E-4
			17)	erê	1059	401	1.17644435E-4
			18)	erí	1142	346	1.0150867E-4
		5)	el	0	0	0.0
			1)	ela	98	4651	0.0013644994
			2)	el_	215	2382	6.988256E-4
			3)	ele	278	1873	5.494963E-4
			4)	elo	317	1678	4.922877E-4
			5)	elh	669	773	2.2678092E-4
			6)	eli	891	519	1.52263E-4
		6)	ec	0	0	0.0
			1)	ect	122	3699	0.001085204
			2)	ece	160	3059	8.974422E-4
			3)	eci	194	2586	7.586746E-4
			4)	eco	275	1906	5.591778E-4
			5)	ecu	679	751	2.203266E-4
			6)	ecç	948	479	1.4052789E-4
			7)	ecl	1300	265	7.774508E-5
		7)	ei	0	0	0.0
			1)	eit	153	3140	9.212058E-4
			2)	eir	209	2428	7.123209E-4
			3)	eia	557	958	2.8105578E-4
			4)	eis	601	885	2.5963923E-4
			5)	eio	730	688	2.0184382E-4
			6)	ei_	906	509	1.4932922E-4
			7)	eix	1097	374	1.0972324E-4
		8)	eg	0	0	0.0
			1)	egu	187	2661	7.806779E-4
			2)	egi	340	1557	4.5678898E-4
			3)	ega	438	1216	3.5674722E-4
			4)	ego	567	943	2.7665513E-4
			5)	egr	774	636	1.8658818E-4
		9)	ev	0	0	0.0
			1)	eve	193	2588	7.5926137E-4
			2)	evi	538	1018	2.9865844E-4
			3)	eva	773	636	1.8658818E-4
			4)	evo	1204	309	9.0653695E-5
		10)	eu	0	0	0.0
			1)	eu_	245	2119	6.2166725E-4
			2)	eur	467	1170	3.4325186E-4
			3)	eus	696	739	2.1680607E-4
		11)	ef	0	0	0.0
			1)	efe	274	1906	5.591778E-4
			2)	efi	607	875	2.5670545E-4
			3)	efo	838	567	1.6634513E-4
		12)	ed	0	0	0.0
			1)	edi	331	1588	4.658837E-4
			2)	eda	876	534	1.5666366E-4
			3)	ede	955	473	1.3876763E-4
			4)	edu	1255	285	8.361263E-5
		13)	eq	0	0	0.0
			1)	equ	424	1240	3.6378828E-4
		14)	ep	0	0	0.0
			1)	epu	426	1236	3.6261478E-4
			2)	epr	1003	439	1.2879279E-4
			3)	epe	1161	338	9.916165E-5
			4)	epo	1253	286	8.390601E-5
			5)	epa	1257	284	8.331925E-5
		15)	ej	0	0	0.0
			1)	eja	447	1206	3.5381343E-4
		16)	ex	0	0	0.0
			1)	exi	519	1057	3.1010018E-4
			2)	ext	653	800	2.3470212E-4
			3)	exe	672	763	2.2384715E-4
			4)	exp	699	736	2.1592595E-4
			5)	exc	984	451	1.3231332E-4
			6)	exa	1448	202	5.9262286E-5
		17)	et	0	0	0.0
			1)	ete	588	903	2.6492E-4
			2)	eta	865	543	1.5930407E-4
			3)	eti	919	498	1.4610207E-4
			4)	etu	1350	245	7.1877526E-5
			5)	eto	1402	220	6.4543085E-5
		18)	ez	0	0	0.0
			1)	ez_	635	824	2.4174318E-4
			2)	eza	1004	438	1.284994E-4
			3)	eze	1307	260	7.6278186E-5
		19)	ea	0	0	0.0
			1)	eal	682	748	2.1944648E-4
			2)	ead	1122	357	1.0473582E-4
		20)	eb	0	0	0.0
			1)	eba	731	685	2.0096368E-4
		21)	eç	0	0	0.0
			1)	eço	1129	353	1.03562306E-4
			2)	eça	1261	282	8.27325E-5
		22)	eo	0	0	0.0
			1)	eoc	1174	333	9.7694756E-5
		23)	ee	0	0	0.0
			1)	een	1340	249	7.305104E-5
	8)	u	0	0	0.0
		1)	ue	0	0	0.0
			1)	ue_	12	18704	0.0054873354
			2)	ues	361	1482	4.3478567E-4
			3)	uer	365	1466	4.3009163E-4
			4)	uem	1030	417	1.2233848E-4
			5)	uen	1100	372	1.0913648E-4
			6)	uel	1248	286	8.390601E-5
		2)	um	0	0	0.0
			1)	uma	66	6534	0.0019169295
			2)	um_	75	5865	0.0017206599
			3)	ume	586	904	2.652134E-4
			4)	umi	1267	278	8.155899E-5
		3)	ur	0	0	0.0
			1)	ura	164	3037	8.909879E-4
			2)	uro	336	1566	4.594294E-4
			3)	urs	960	469	1.3759412E-4
			4)	urí	1226	298	8.742654E-5
			5)	uri	1266	279	8.185236E-5
		4)	ua	0	0	0.0
			1)	ual	238	2194	6.4367056E-4
			2)	ua_	333	1578	4.6294992E-4
			3)	uan	429	1231	3.611479E-4
			4)	uas	608	873	2.5611868E-4
			5)	uaç	758	655	1.9216236E-4
			6)	uad	849	557	1.6341134E-4
			7)	uai	868	540	1.5842392E-4
			8)	uar	939	484	1.4199478E-4
		5)	ui	0	0	0.0
			1)	uit	286	1840	5.398149E-4
			2)	ui_	604	882	2.5875907E-4
			3)	uir	648	803	2.3558225E-4
			4)	uin	837	567	1.6634513E-4
			5)	uiç	935	486	1.4258154E-4
			6)	uil	986	450	1.3201994E-4
			7)	uid	1236	293	8.595965E-5
		6)	ut	0	0	0.0
			1)	uta	325	1635	4.7967245E-4
			2)	utr	473	1159	3.4002468E-4
			3)	uto	541	1002	2.939644E-4
			4)	utu	750	661	1.9392262E-4
			5)	uti	752	659	1.9333587E-4
		7)	un	0	0	0.0
			1)	und	329	1600	4.6940424E-4
			2)	uni	353	1499	4.3977308E-4
			3)	unt	468	1168	3.426651E-4
			4)	uns	788	621	1.8218752E-4
			5)	unc	867	540	1.5842392E-4
		8)	ul	0	0	0.0
			1)	ula	382	1393	4.0867506E-4
			2)	ult	510	1072	3.1450082E-4
			3)	ulo	941	483	1.417014E-4
			4)	ulh	1116	361	1.0590933E-4
		9)	uç	0	0	0.0
			1)	uçã	436	1224	3.5909424E-4
		10)	us	0	0	0.0
			1)	ust	554	961	2.819359E-4
			2)	us_	657	792	2.323551E-4
			3)	usa	998	439	1.2879279E-4
			4)	usi	1420	210	6.16093E-5
		11)	ud	0	0	0.0
			1)	udo	686	746	2.1885973E-4
			2)	uda	888	522	1.5314313E-4
			3)	ude	1186	321	9.4174226E-5
			4)	udi	1264	280	8.214574E-5
		12)	ug	0	0	0.0
			1)	uga	776	635	1.862948E-4
		13)	up	0	0	0.0
			1)	upo	873	536	1.5725041E-4
			2)	upa	989	449	1.3172656E-4
		14)	uz	0	0	0.0
			1)	uzi	1019	427	1.2527226E-4
		15)	ub	0	0	0.0
			1)	ubs	1153	339	9.945502E-5
		16)	uc	0	0	0.0
			1)	uco	1230	295	8.65464E-5
		17)	uí	0	0	0.0
			1)	uíd	1296	266	7.803845E-5
		18)	uê	0	0	0.0
			1)	uên	1302	263	7.715832E-5
		19)	uf	0	0	0.0
			1)	ufi	1416	212	6.2196064E-5
		20)	uv	0	0	0.0
			1)	uvi	1421	209	6.131593E-5
	9)	n	0	0	0.0
		1)	nt	0	0	0.0
			1)	nte	13	17087	0.005012944
			2)	nto	51	7488	0.0021968118
			3)	nta	85	5361	0.0015727975
			4)	ntr	117	3820	0.0011207026
			5)	nti	264	1990	5.838215E-4
			6)	ntu	1143	344	1.0092191E-4
			7)	ntá	1327	254	7.451792E-5
		2)	no	0	0	0.0
			1)	no_	81	5543	0.0016261922
			2)	nos	93	4945	0.0014507525
			3)	nov	497	1120	3.2858297E-4
			4)	nom	629	828	2.4291669E-4
			5)	nor	795	615	1.8042725E-4
		3)	nã	0	0	0.0
			1)	não	90	5064	0.0014856644
		4)	nc	0	0	0.0
