English	3	43770781	2924
			14)	tam	2345	661	1.06006555E-5
			15)	tay	2472	491	7.874314E-6
			16)	tap	2766	274	4.3942205E-6
		9)	tu	0	0	0.0
			1)	tur	274	33938	5.442739E-4
			2)	tua	656	14807	2.3746431E-4
			3)	tut	884	9859	1.5811174E-4
			4)	tun	1012	8276	1.327247E-4
			5)	tud	1466	3618	5.8022953E-5
			6)	tul	1558	3055	4.8993952E-5
			7)	tus	1894	1591	2.5515345E-5
			8)	tue	2384	605	9.702567E-6
			9)	tum	2465	498	7.986576E-6
			10)	tuf	2494	469	7.521494E-6
			11)	tup	2886	218	3.4961315E-6
			12)	tub	2901	210	3.367833E-6
		10)	tt	0	0	0.0
			1)	tte	329	28939	4.6410342E-4
			2)	tti	1178	6325	1.0143592E-4
			3)	ttl	1438	3826	6.135871E-5
			4)	tta	1541	3130	5.0196748E-5
			5)	ttr	2328	680	1.0905364E-5
			6)	tto	2461	501	8.034687E-6
		11)	tl	0	0	0.0
			1)	tly	453	21460	3.4416045E-4
			2)	tle	826	10935	1.7536788E-4
			3)	tli	2126	1009	1.6181635E-5
			4)	tla	2612	378	6.0620996E-6
		12)	tw	0	0	0.0
			1)	twe	738	12887	2.0667269E-4
			2)	two	832	10795	1.7312265E-4
			3)	twi	2343	662	1.0616693E-5
			4)	twa	2822	246	3.9451756E-6
		13)	tm	0	0	0.0
			1)	tme	1046	7791	1.249466E-4
			2)	tmo	2344	662	1.0616693E-5
		14)	tn	0	0	0.0
			1)	tne	1484	3481	5.5825843E-5
		15)	tc	0	0	0.0
			1)	tch	1803	1921	3.0807652E-5
			2)	tco	1902	1565	2.5098374E-5
			3)	tc_	2363	630	1.0103499E-5
		16)	tp	0	0	0.0
			1)	tpo	2401	584	9.365784E-6
		17)	tb	0	0	0.0
			1)	tba	2496	465	7.4573445E-6
			2)	tbr	2628	361	5.7894654E-6
		18)	tf	0	0	0.0
			1)	tfu	2523	437	7.0083E-6
			2)	tfo	2547	423	6.783778E-6
	3)	h	0	0	0.0
		1)	he	0	0	0.0
			1)	he_	3	784197	0.012576403
			2)	her	55	120582	0.0019338097
			3)	hes	324	29168	4.6777597E-4
			4)	hen	393	24769	3.9722788E-4
			5)	hey	440	22378	3.588827E-4
			6)	hei	475	20774	3.3315888E-4
			7)	hem	617	15467	2.4804892E-4
			8)	hea	710	13348	2.1406588E-4
			9)	hel	890	9791	1.570212E-4
			10)	hed	1080	7439	1.19301476E-4
			11)	het	1239	5701	9.142865E-5
			12)	hec	2066	1136	1.8218372E-5
			13)	hee	2311	717	1.1498744E-5
			14)	heo	2654	340	5.452682E-6
		2)	ha	0	0	0.0
			1)	hat	27	207292	0.0033244041
			2)	hav	99	78112	0.0012527056
			3)	has	155	51977	8.335707E-4
			4)	han	262	35011	5.614819E-4
			5)	hal	731	13000	2.084849E-4
			6)	har	756	12480	2.001455E-4
			7)	had	986	8540	1.3695854E-4
			8)	hap	1027	8007	1.2841067E-4
			9)	hai	1931	1485	2.3815392E-5
			10)	ham	2169	934	1.4978838E-5
			11)	hab	2211	884	1.4176973E-5
			12)	hau	2366	627	1.0055387E-5
			13)	haz	2707	308	4.9394885E-6
			14)	hak	2812	252	4.0413997E-6
		3)	hi	0	0	0.0
			1)	his	52	123450	0.0019798046
			2)	hic	105	75129	0.0012048663
			3)	hin	225	40139	6.437212E-4
			4)	hil	1036	7908	1.2682297E-4
			5)	hie	1068	7592	1.2175518E-4
			6)	hig	1075	7514	1.2050427E-4
			7)	hip	1181	6263	1.0044161E-4
			8)	hir	1291	5092	8.1661936E-5
			9)	him	1700	2337	3.747917E-5
			10)	hit	2207	888	1.4241123E-5
			11)	hib	2361	637	1.021576E-5
			12)	hif	2539	431	6.9120765E-6
			13)	hid	2623	365	5.8536148E-6
			14)	hio	2741	287	4.6027053E-6
		4)	ho	0	0	0.0
			1)	hou	165	49470	7.9336524E-4
			2)	how	407	24348	3.904762E-4
			3)	ho_	587	16286	2.6118348E-4
			4)	hos	654	14820	2.376728E-4
			5)	hor	808	11307	1.8133376E-4
			6)	hol	940	9212	1.4773561E-4
			7)	hop	997	8408	1.3484163E-4
			8)	hon	1568	3009	4.8256235E-5
			9)	hom	1653	2607	4.1809242E-5
			10)	hod	1683	2441	3.914705E-5
			11)	hoo	1761	2049	3.286043E-5
			12)	hoi	2070	1133	1.8170262E-5
			13)	hoc	2294	749	1.20119375E-5
			14)	hob	2513	445	7.1365985E-6
			15)	hot	2533	435	6.9762254E-6
		5)	ht	0	0	0.0
			1)	ht_	415	23844	3.823934E-4
			2)	hts	856	10380	1.6646717E-4
			3)	hte	1624	2732	4.3813903E-5
			4)	htl	1881	1634	2.6204949E-5
			5)	hti	2183	910	1.4593943E-5
			6)	htf	2798	259	4.153661E-6
			7)	hth	2843	236	3.7848029E-6
		6)	hu	0	0	0.0
			1)	hum	886	9819	1.5747025E-4
			2)	hus	1772	2020	3.2395346E-5
			3)	hug	1970	1374	2.203525E-5
			4)	hun	2007	1263	2.0255111E-5
			5)	hur	2475	489	7.84224E-6
		7)	hy	0	0	0.0
			1)	hy_	932	9300	1.4914689E-4
			2)	hys	2518	441	7.0724495E-6
			3)	hyp	2549	422	6.7677406E-6
		8)	hr	0	0	0.0
			1)	hro	1052	7738	1.2409662E-4
			2)	hre	1133	6861	1.1003191E-4
			3)	hri	2430	551	8.836552E-6
			4)	hra	2716	304	4.875339E-6
