French	4	1859598
					6)	_desp	0.0020168684	11
					7)	Esc	0.00110011	6
				5)	_dev	0.04089641	938
					1)	_devr	0.36585367	345
					2)	_devi	0.06362672	60
					3)	_devo	0.3923648	370
					4)	_deva	0.10180276	96
					5)	_deve	0.07104984	67
					6)	Esc	0.005302227	5
				6)	_dex	0.0053627486	123
					1)	_dexa	0.115384616	15
					2)	_dexi	0.10769231	14
					3)	_dexe	0.10769231	14
					4)	_dexp	0.4076923	53
					5)	_dexé	0.053846154	7
					6)	_dext	0.07692308	10
					7)	_dexc	0.07692308	10
					8)	Esc	0.053846154	7
				7)	_deu	0.020797001	477
					1)	_deux	0.7866109	376
					2)	_deur	0.20920502	100
					3)	Esc	0.0041841003	2
				8)	_dep	0.0049267528	113
					1)	_depu	0.99122804	113
					2)	Esc	0.00877193	1
				9)	_del	4.795954E-4	11
					1)	_dell	0.36363637	4
					2)	_delà	0.45454547	5
					3)	Esc	0.18181819	2
				10)	_deh	0.0011771887	27
					1)	_deho	0.962963	26
					2)	Esc	0.037037037	1
				11)	_deg	3.0519706E-4	7
					1)	_degr	0.875	7
					2)	Esc	0.125	1
				12)	_den	0.008240321	189
					1)	_dent	0.47395834	91
					2)	_den_	0.072916664	14
					3)	_denv	0.13541667	26
					4)	_dens	0.03125	6
					5)	_denq	0.046875	9
					6)	_denc	0.057291668	11
					7)	_denr	0.0625	12
					8)	_deng	0.078125	15
					9)	Esc	0.041666668	8
				13)	_def	7.411929E-4	17
					1)	_deff	0.9444444	17
					2)	Esc	0.055555556	1
				14)	Esc	5.6679454E-4	13
			2)	_dé	0.09021601	3763
				1)	_déc	0.19423127	734
					1)	_décl	0.2228261	164
					2)	_déce	0.11684783	86
					3)	_décr	0.035326086	26
					4)	_déco	0.06793478	50
					5)	_déci	0.4375	322
					6)	_déch	0.11141305	82
					7)	Esc	0.008152174	6
				2)	_déb	0.106112726	401
					1)	_déba	0.74876845	304
					2)	_débu	0.16256158	66
					3)	_débo	0.04187192	17
					4)	_débr	0.0073891627	3
					5)	_débl	0.027093597	11
					6)	Esc	0.0123152705	5
				3)	_dép	0.111405134	421
					1)	_dépl	0.103286386	44
					2)	_dépu	0.34037557	145
					3)	_dépe	0.22535211	96
					4)	_dépa	0.14319248	61
					5)	_dépo	0.13615024	58
					6)	_dépô	0.0093896715	4
					7)	_dépi	0.025821596	11
					8)	Esc	0.016431924	7
				4)	_dér	0.017200317	65
					1)	_déro	0.5072464	35
					2)	_déri	0.2173913	15
					3)	_déra	0.17391305	12
					4)	_déré	0.04347826	3
					5)	Esc	0.057971016	4
				5)	_déj	0.06800741	257
					1)	_déjà	0.996124	257
					2)	Esc	0.003875969	1
				6)	_dés	0.036517598	138
					1)	_déso	0.19863014	29
					2)	_dési	0.31506848	46
					3)	_dése	0.08219178	12
					4)	_désa	0.21232876	31
					5)	_désé	0.04109589	6
					6)	_désh	0.047945205	7
					7)	_désu	0.020547945	3
					8)	_dést	0.02739726	4
					9)	Esc	0.05479452	8
				7)	_dév	0.12066685	456
					1)	_déva	0.054229934	25
					2)	_déve	0.8503254	392
					3)	_dévi	0.05206074	24
					4)	_dévo	0.02603037	12
					5)	_dévé	0.0065075923	3
					6)	Esc	0.010845987	5
				8)	_dét	0.07991532	302
					1)	_déta	0.6052632	184
					2)	_déto	0.023026315	7
					3)	_dété	0.02631579	8
					4)	_déte	0.19736843	60
					5)	_détu	0.029605264	9
					6)	_détr	0.098684214	30
					7)	Esc	0.019736841	6
				9)	_déf	0.08864779	335
					1)	_défi	0.57738096	194
					2)	_défa	0.14583333	49
					3)	_défe	0.26785713	90
					4)	Esc	0.008928572	3
				10)	_dél	0.05001323	189
					1)	_déla	0.3969072	77
					2)	_déli	0.3298969	64
					3)	_délé	0.185567	36
					4)	_délo	0.025773196	5
					5)	_déle	0.036082473	7
					6)	Esc	0.025773196	5
				11)	_dém	0.07912146	299
					1)	_déma	0.13245033	40
					2)	_démo	0.75165564	227
					3)	_dému	0.013245033	4
					4)	_déme	0.023178808	7
					5)	_démi	0.06291391	19
					6)	Esc	0.01655629	5
				12)	_dég	0.016671076	63
					1)	_dégâ	0.32307693	21
					2)	_déga	0.43076923	28
					3)	_dégr	0.13846155	9
					4)	_dégu	0.046153847	3
					5)	Esc	0.06153846	4
				13)	_déd	0.0034400634	13
					1)	_dédi	0.1875	3
					2)	_dédu	0.3125	5
					3)	_dédo	0.3125	5
					4)	Esc	0.1875	3
				14)	_déq	0.0023815825	9
					1)	_déqu	0.9	9
					2)	Esc	0.1	1
				15)	_dén	0.01905266	72
					1)	_déno	0.3802817	27
					2)	_déne	0.53521127	38
					3)	_déni	0.04225352	3
					4)	Esc	0.04225352	3
				16)	_déç	0.0023815825	9
					1)	_déçu	0.8888889	8
					2)	Esc	0.11111111	1
				17)	Esc	0.004233924	16
			3)	_du	0.09606579	4007
				1)	_du_	0.69573885	2792
				2)	_dun	0.24420632	980
					1)	_dun_	0.47357723	466
					2)	_dune	0.5152439	507
					3)	_duni	0.0030487804	3
					4)	_duna	0.0040650405	4
					5)	Esc	0.0040650405	4
				3)	_dut	0.004236232	17
					1)	_duti	0.9444444	17
					2)	Esc	0.055555556	1
				4)	_dur	0.03712933	149
					1)	_duré	0.2	31
					2)	_dura	0.5096774	79
					3)	_dure	0.038709678	6
					4)	_dur_	0.019354839	3
					5)	_durb	0.058064517	9
					6)	_durg	0.10967742	17
					7)	_durc	0.019354839	3
					8)	Esc	0.045161292	7
				5)	_duv	7.475704E-4	3
					1)	_duvr	0.75	3
					2)	Esc	0.25	1
				6)	_due	0.0027410914	11
					1)	_due_	0.61538464	8
					2)	_dues	0.23076923	3
					3)	Esc	0.15384616	2
				7)	_duq	0.005482183	22
					1)	_duqu	0.95652175	22
					2)	Esc	0.04347826	1
				8)	_dum	7.475704E-4	3
					1)	_dump	0.75	3
					2)	Esc	0.25	1
				9)	_dus	0.0067281337	27
					1)	_dus_	0.11111111	3
					2)	_dusa	0.8148148	22
					3)	Esc	0.074074075	2
				10)	Esc	0.0022427111	9
			4)	_da	0.10030927	4184
				1)	_dan	0.67317307	2828
					1)	_dans	0.94240284	2667
					2)	_dang	0.036042403	102
					3)	_dana	0.0024734982	7
					4)	_dann	0.002826855	8
					5)	_dano	0.01024735	29
					6)	_danc	0.0038869258	11
					7)	Esc	0.0021201414	6
				2)	_dac	0.050702214	213
					1)	_dacc	0.578199	122
					2)	_dact	0.3886256	82
					3)	_dacq	0.018957347	4
					4)	Esc	0.014218009	3
				3)	_dal	0.0061890027	26
					1)	_dale	0.2	5
					2)	_dall	0.44	11
					3)	_dali	0.24	6
					4)	Esc	0.12	3
				4)	_dai	0.0197572	83
					1)	_dail	0.40963855	34
					2)	_daid	0.56626505	47
					3)	Esc	0.024096385	2
				5)	_dab	0.022851702	96
					1)	_dabo	0.98913044	91
					2)	Esc	0.010869565	1
				6)	_dau	0.07760057	326
					1)	_dauj	0.048780486	16
					2)	_dauc	0.08231708	27
					3)	_daut	0.7987805	262
					4)	_daud	0.027439024	9
