Portuguese	3	182135366	4156
			13)	onj	1266	21011	8.27283E-5
			14)	one	1430	15803	6.2222425E-5
			15)	oná	1970	6082	2.3947148E-5
			16)	oní	2101	4829	1.901361E-5
			17)	onu	2329	3229	1.2713802E-5
			18)	onr	2513	2441	9.611146E-6
			19)	onq	2733	1684	6.630549E-6
			20)	onn	2827	1496	5.8903215E-6
			21)	on_	2961	1189	4.6815453E-6
			22)	onâ	3250	754	2.9687849E-6
			23)	onz	3829	323	1.271774E-6
		4)	om	0	0	0.0
			1)	om_	106	307010	0.0012088153
			2)	omo	153	233516	9.1944134E-4
			3)	ome	267	145323	5.7219196E-4
			4)	omp	335	120613	4.7489928E-4
			5)	omu	512	76513	3.012608E-4
			6)	omi	631	62763	2.4712182E-4
			7)	oma	957	35832	1.4108422E-4
			8)	omí	1134	26898	1.0590766E-4
			9)	omb	1164	25668	1.0106468E-4
			10)	omé	1493	14333	5.6434477E-5
			11)	omó	2152	4354	1.7143355E-5
			12)	omá	2318	3273	1.2887047E-5
		5)	ou	0	0	0.0
			1)	ou_	175	209341	8.2425517E-4
			2)	out	463	87720	3.4538703E-4
			3)	ouv	1323	19060	7.5046475E-5
			4)	ouc	1333	18683	7.356208E-5
			5)	ous	1846	7700	3.0317831E-5
			6)	our	2288	3420	1.3465841E-5
			7)	oup	2370	3025	1.1910576E-5
			8)	oub	2765	1623	6.3903685E-6
			9)	oun	3044	1038	4.087001E-6
			10)	oux	3050	1028	4.047627E-6
			11)	oum	3395	618	2.4333012E-6
			12)	ouç	3654	412	1.6222008E-6
			13)	oul	3725	370	1.4568308E-6
			14)	ouo	3758	352	1.385958E-6
		6)	ob	0	0	0.0
			1)	obr	186	195493	7.6973037E-4
			2)	obj	752	49821	1.9616424E-4
			3)	obl	799	46468	1.829622E-4
			4)	obs	1237	21937	8.637432E-5
			5)	oba	1325	18913	7.446768E-5
			6)	obt	1575	12403	4.8835333E-5
			7)	ob_	1767	8862	3.4893066E-5
			8)	obi	1781	8628	3.397172E-5
			9)	obe	1863	7463	2.9384672E-5
			10)	obv	2023	5484	2.1592596E-5
			11)	obo	3346	656	2.5829218E-6
			12)	obb	3694	388	1.5277037E-6
			13)	obu	3806	332	1.3072104E-6
		7)	od	0	0	0.0
			1)	ode	234	163170	6.424624E-4
			2)	odo	265	145797	5.740583E-4
			3)	odu	591	66163	2.605089E-4
			4)	oda	678	56943	2.2420626E-4
			5)	odi	1622	11409	4.4921577E-5
			6)	odí	3541	489	1.9253791E-6
			7)	odã	3616	436	1.716698E-6
			8)	odk	4117	210	8.2684994E-7
		8)	op	0	0	0.0
			1)	ope	298	129665	5.1054044E-4
			2)	opo	319	123935	4.8797927E-4
			3)	opt	1177	24768	9.752104E-5
			4)	opi	1241	21832	8.596089E-5
			5)	opu	1319	19171	7.548352E-5
			6)	opç	1624	11383	4.4819204E-5
			7)	opr	1766	8867	3.4912755E-5
			8)	opõ	1976	5996	2.3608534E-5
			9)	opó	2089	4947	1.9478222E-5
			10)	opa	2226	3809	1.4997483E-5
			11)	opô	2667	1866	7.347152E-6
			12)	opí	3775	339	1.334772E-6
		9)	ol	0	0	0.0
			1)	olí	345	117488	4.6259497E-4
			2)	olv	460	88416	3.4812745E-4
			3)	olu	557	71633	2.8204639E-4
			4)	olo	707	54748	2.155637E-4
			5)	ola	775	47236	1.8598611E-4
			6)	ole	938	37096	1.4606107E-4
			7)	oli	986	34413	1.3549707E-4
			8)	olh	1170	25249	9.941492E-5
			9)	olt	1647	10806	4.2547334E-5
			10)	oló	1748	9183	3.6156966E-5
			11)	olê	1821	8131	3.2014843E-5
			12)	ol_	1912	6763	2.6628504E-5
			13)	old	2357	3096	1.219013E-5
			14)	ols	2547	2287	9.00479E-6
			15)	olp	3132	899	3.5397052E-6
			16)	olm	3193	821	3.2325895E-6
			17)	olé	3230	772	3.0396577E-6
			18)	olá	3434	580	2.2836807E-6
			19)	olf	4087	217	8.544116E-7
		10)	oc	0	0	0.0
			1)	oci	411	98044	3.8603655E-4
			2)	oce	647	61114	2.4062907E-4
			3)	oca	662	58444	2.3011627E-4
			4)	ocu	697	55288	2.176899E-4
			5)	ocr	958	35777	1.4086766E-4
			6)	oco	1465	15012	5.910796E-5
			7)	ocí	2951	1219	4.799667E-6
			8)	ocl	3025	1066	4.1972476E-6
			9)	och	3243	762	3.000284E-6
			10)	ocê	3439	575	2.2639938E-6
			11)	ocá	3520	510	2.008064E-6
			12)	oct	3786	337	1.3268973E-6
			13)	oc_	3836	321	1.2638992E-6
			14)	océ	3846	314	1.2363375E-6
			15)	ock	3893	288	1.1339656E-6
		11)	ov	0	0	0.0
			1)	ova	511	76523	3.0130017E-4
			2)	ove	667	57904	2.2799008E-4
			3)	ovo	686	55772	2.1959559E-4
			4)	ovi	1297	19998	7.873974E-5
			5)	ová	1978	5957	2.3454975E-5
			6)	ové	3090	975	3.838946E-6
			7)	oví	3444	572	2.2521817E-6
			8)	ovê	3635	422	1.6615746E-6
		12)	oi	0	0	0.0
			1)	ois	524	74967	2.951736E-4
			2)	oi_	573	69550	2.738448E-4
			3)	oio	953	36113	1.4219062E-4
			4)	oia	1172	25227	9.93283E-5
			5)	oib	1890	7057	2.7786095E-5
			6)	oit	2001	5743	2.2612378E-5
			7)	oie	2425	2796	1.1008916E-5
			8)	oin	2755	1635	6.4376172E-6
			9)	oiá	3065	1017	4.004316E-6
			10)	oim	3592	453	1.7836334E-6
			11)	oic	3824	324	1.2757113E-6
			12)	oiç	4066	224	8.819732E-7
			13)	oil	4074	220	8.6622373E-7
		13)	ot	0	0	0.0
			1)	ota	566	70280	2.767191E-4
			2)	ote	607	64491	2.5392562E-4
			3)	oto	1383	17208	6.7754445E-5
			4)	oti	1402	16564	6.5218774E-5
			5)	otá	2230	3792	1.4930547E-5
			6)	otu	2530	2361	9.296155E-6
			7)	otí	2587	2153	8.47718E-6
			8)	otê	2643	1961	7.7212035E-6
			9)	otr	3677	398	1.5670774E-6
			10)	otó	3759	352	1.385958E-6
			11)	oté	3789	336	1.3229599E-6
		14)	oj	0	0	0.0
			1)	oje	673	57547	2.2658444E-4
			2)	oja	2897	1321	5.2012797E-6
		15)	og	0	0	0.0
			1)	ogr	728	51867	2.0422012E-4
			2)	ogo	1276	20681	8.142897E-5
			3)	ogi	1541	13240	5.213092E-5
			4)	oga	1609	11692	4.6035853E-5
			5)	oge	2994	1119	4.405929E-6
			6)	ogé	3113	922	3.630265E-6
			7)	ogí	3463	554	2.181309E-6
			8)	ogu	3481	542	2.1340602E-6
			9)	ogm	3586	456	1.7954455E-6
			10)	ogá	3744	359	1.4135196E-6
			11)	ogâ	4040	231	9.095349E-7
		16)	oa	0	0	0.0
			1)	oas	833	43994	1.7322112E-4
			2)	oa_	1489	14476	5.699752E-5
			3)	oal	1732	9565	3.7661044E-5
			4)	oad	2474	2588	1.0189941E-5
			5)	oai	2598	2123	8.359059E-6
			6)	oam	2812	1525	6.0045054E-6
			7)	oac	2892	1331	5.2406535E-6
			8)	oar	2959	1193	4.697295E-6
			9)	oat	3472	547	2.1537471E-6
			10)	oan	3621	433	1.7048858E-6
			11)	oaç	3713	375	1.4765177E-6
			12)	oav	3770	342	1.3465842E-6
		17)	oo	0	0	0.0
			1)	oop	1101	28293	1.1140031E-4
			2)	oor	1681	10306	4.0578645E-5
			3)	oo_	2413	2829	1.113885E-5
			4)	oos	2605	2092	8.237E-6
			5)	ool	2767	1622	6.3864313E-6
			6)	oob	4046	229	9.0166014E-7
		18)	of	0	0	0.0
			1)	ofe	1337	18575	7.313684E-5
			2)	ofi	1509	13973	5.501702E-5
			3)	ofu	1683	10287	4.0503834E-5
			4)	ofr	1849	7644	3.0097337E-5
			5)	ofo	2909	1297	5.1067827E-6
			6)	of_	3630	424	1.6694494E-6
			7)	oft	3717	373	1.468643E-6
			8)	ofa	3820	326	1.283586E-6
			9)	ofí	3822	325	1.2796487E-6
			10)	off	4147	203	7.992883E-7
		19)	oe	0	0	0.0
			1)	oen	1762	9001	3.5440364E-5
			2)	oes	1770	8800	3.464895E-5
			3)	oer	1919	6678	2.6293828E-5
			4)	oed	2319	3273	1.2887047E-5
			5)	oec	2580	2175	8.563803E-6
			6)	oem	3053	1027	4.04369E-6
			7)	oex	3124	905	3.5633295E-6
			8)	oei	3516	514	2.0238135E-6
			9)	oel	3839	318	1.252087E-6
			10)	oet	4006	241	9.4890873E-7
			11)	oef	4145	204	8.0322565E-7
		20)	oç	0	0	0.0
			1)	oçã	1784	8583	3.379454E-5
			2)	oço	3290	716	2.8191646E-6
			3)	oça	3670	404	1.5907018E-6
			4)	oçõ	3697	386	1.5198289E-6
		21)	oq	0	0	0.0
			1)	oqu	1882	7211	2.8392451E-5
		22)	ox	0	0	0.0
			1)	oxi	1963	6141	2.4179453E-5
			2)	oxa	3456	559	2.2009958E-6
			3)	oxo	3793	335	1.3190225E-6
		23)	oz	0	0	0.0
			1)	oz_	2264	3585	1.411551E-5
			2)	ozi	2360	3086	1.2150756E-5
			3)	oze	2715	1738	6.8431673E-6
			4)	oza	2930	1265	4.9807863E-6
			5)	ozo	3732	367	1.4450187E-6
		24)	oá	0	0	0.0
			1)	oáv	2454	2669	1.0508868E-5
		25)	o”	0	0	0.0
			1)	o”_	2521	2400	9.449714E-6
		26)	oí	0	0	0.0
			1)	oíb	3238	767	3.0199708E-6
			2)	oís	3523	508	2.0001894E-6
		27)	oó	0	0	0.0
			1)	oól	3869	300	1.1812142E-6
		28)	o 	0	0	0.0
			1)	o _	3921	274	1.0788423E-6
	2)	_	0	0	0.0
		1)	_d	0	0	0.0
			1)	_de	2	2808971	0.011059988
			2)	_do	25	948218	0.0037334953
			3)	_da	26	923724	0.0036370528
			4)	_di	67	469770	0.0018496633
			5)	_du	817	45321	1.7844602E-4
			6)	_dú	1652	10653	4.1944917E-5
			7)	_dé	1888	7083	2.7888467E-5
			8)	_dr	1985	5869	2.3108487E-5
			9)	_dá	2148	4404	1.7340224E-5
			10)	_dí	2362	3073	1.209957E-5
			11)	_dê	2441	2738	1.0780548E-5
			12)	_dó	2722	1726	6.795919E-6
			13)	_dã	2825	1499	5.9021336E-6
		2)	_a	0	0	0.0
			1)	_a_	6	1710450	0.0067346925
			2)	_as	61	502079	0.001976876
			3)	_ap	110	293457	0.0011554519
			4)	_ao	116	287210	0.0011308551
			5)	_ac	117	286424	0.0011277603
			6)	_al	140	250359	9.857586E-4
			7)	_an	261	148003	5.8274413E-4
			8)	_at	324	123430	4.859909E-4
			9)	_ag	355	114068	4.4912912E-4
			10)	_ad	408	98884	3.8934394E-4
			11)	_ab	474	85768	3.3770126E-4
			12)	_au	485	83602	3.2917288E-4
			13)	_am	534	73829	2.9069287E-4
			14)	_aq	705	54861	2.1600863E-4
			15)	_ai	754	49759	1.9592012E-4
			16)	_af	824	44678	1.7591429E-4
			17)	_ar	827	44357	1.7465038E-4
			18)	_av	940	36963	1.455374E-4
			19)	_aj	964	35570	1.4005262E-4
			20)	_aé	1959	6216	2.4474757E-5
			21)	_aí	2303	3342	1.3158726E-5
			22)	_ae	2323	3269	1.2871297E-5
			23)	_aç	2582	2172	8.5519905E-6
			24)	_az	2685	1819	7.1620952E-6
		3)	_c	0	0	0.0
			1)	_co	7	1672233	0.006584218
			2)	_ca	160	223718	8.8086294E-4
			3)	_cr	257	151723	5.973912E-4
			4)	_ci	392	101827	4.0093166E-4
			5)	_cu	507	78611	3.0952142E-4
			6)	_ce	567	70232	2.765301E-4
			7)	_cl	606	64505	2.5398075E-4
			8)	_ch	760	48253	1.8999043E-4
			9)	_cé	2334	3217	1.2666554E-5
			10)	_cí	2479	2574	1.0134818E-5
			11)	_có	2563	2229	8.776421E-6
			12)	_câ	2795	1575	6.2013746E-6
			13)	_cá	2800	1567	6.169875E-6
			14)	_cs	3373	641	2.523861E-6
			15)	_cú	3525	506	1.9923145E-6
			16)	_cô	3612	438	1.7245727E-6
			17)	_cã	3862	305	1.2009011E-6
			18)	_cê	3984	250	9.843451E-7
		4)	_q	0	0	0.0
			1)	_qu	8	1662755	0.006546899
		5)	_s	0	0	0.0
			1)	_se	15	1095366	0.004312873
			2)	_so	112	289742	0.0011408245
			3)	_su	139	251170	9.889519E-4
			4)	_si	190	191954	7.55796E-4
			5)	_sa	356	113666	4.475463E-4
			6)	_sã	481	84234	3.3166131E-4
			7)	_só	935	37513	1.4770296E-4
			8)	_sé	1407	16412	6.462029E-5
			9)	_sí	2302	3346	1.31744755E-5
			10)	_st	3094	968	3.8113844E-6
			11)	_sk	3199	810	3.1892782E-6
			12)	_sv	3292	713	2.8073523E-6
			13)	_sl	3571	467	1.8387567E-6
			14)	_sá	3579	462	1.8190698E-6
			15)	_sê	3593	453	1.7836334E-6
			16)	_sc	3703	385	1.5158915E-6
			17)	_sú	3904	284	1.1182161E-6
			18)	_sh	3938	268	1.055218E-6
		6)	_e	0	0	0.0
			1)	_e_	18	1076389	0.0042381533
			2)	_es	32	861585	0.003392388
			3)	_em	44	614846	0.0024208827
			4)	_en	107	303347	0.0011943926
			5)	_ex	127	267447	0.0010530406
			6)	_eu	290	132565	5.2195886E-4
			7)	_el	385	103233	4.0646762E-4
			8)	_ef	592	66096	2.602451E-4
			9)	_ec	620	63621	2.505001E-4
			10)	_ev	891	39994	1.574716E-4
			11)	_er	1166	25546	1.0058432E-4
			12)	_eq	1277	20602	8.111791E-5
			13)	_ed	1603	11802	4.6468966E-5
			14)	_et	2020	5578	2.1962709E-5
			15)	_ei	2414	2826	1.1127037E-5
			16)	_ep	2848	1436	5.6540784E-6
			17)	_eg	3125	905	3.5633295E-6
			18)	_eo	3588	456	1.7954455E-6
			19)	_eó	3891	290	1.1418404E-6
		7)	_r	0	0	0.0
			1)	_re	19	1051618	0.00414062
			2)	_ra	652	60298	2.3741617E-4
			3)	_ri	1065	29904	1.1774343E-4
			4)	_ro	1434	15701	6.1820814E-5
			5)	_ru	1463	15055	5.9277263E-5
			6)	_rá	1903	6913	2.7219112E-5
			7)	_ró	3021	1072	4.220872E-6
			8)	_rí	3207	805	3.1695913E-6
			9)	_ré	4024	234	9.2134707E-7
		8)	_o	0	0	0.0
			1)	_o_	23	961837	0.0037871182
			2)	_os	70	464196	0.0018277164
			3)	_ou	209	176845	6.9630606E-4
			4)	_ob	348	116166	4.5738975E-4
			5)	_or	384	103753	4.0851504E-4
			6)	_op	532	74114	2.9181503E-4
			7)	_on	1217	22970	9.044163E-5
			8)	_oc	1283	20437	8.046825E-5
			9)	_of	1492	14395	5.6678593E-5
			10)	_ol	1921	6671	2.6266265E-5
			11)	_oi	2577	2183	8.595302E-6
			12)	_ov	2991	1126	4.4334906E-6
			13)	_om	3075	1002	3.9452552E-6
			14)	_oz	3841	318	1.252087E-6
			15)	_od	4003	243	9.567834E-7
		9)	_p	0	0	0.0
			1)	_pr	27	923629	0.003636679
			2)	_po	29	886921	0.0034921456
			3)	_pa	31	877349	0.0034544568
			4)	_pe	55	526411	0.0020726805
			5)	_pl	868	40819	1.6071994E-4
			6)	_pú	1091	28869	1.1366824E-4
			7)	_pu	1352	18315	7.211312E-5
			8)	_pi	1708	9838	3.873595E-5
			9)	_pô	1714	9737	3.8338276E-5
			10)	_pó	2641	1978	7.788139E-6
			11)	_põ	2674	1848	7.276279E-6
			12)	_pé	2732	1689	6.6502357E-6
			13)	_pá	2752	1639	6.453367E-6
			14)	_ps	3005	1096	4.315369E-6
			15)	_pn	3683	396	1.5592027E-6
			16)	_pâ	3792	336	1.3229599E-6
		10)	_u	0	0	0.0
			1)	_um	36	752163	0.002961552
			2)	_ut	970	35274	1.3888716E-4
			3)	_un	1144	26433	1.0407678E-4
			4)	_us	1578	12354	4.86424E-5
			5)	_ur	1621	11442	4.5051507E-5
			6)	_ul	1914	6710	2.6419824E-5
			7)	_uc	3242	763	3.0042213E-6
		11)	_n	0	0	0.0
			1)	_no	38	693317	0.002729853
			2)	_na	87	376545	0.0014826009
			3)	_nã	93	362947	0.0014290605
			4)	_ne	142	246904	9.72155E-4
			5)	_nu	583	68031	2.6786394E-4
			6)	_ní	858	42112	1.6581097E-4
			7)	_nó	1015	32456	1.2779163E-4
			8)	_nú	1312	19564	7.703091E-5
			9)	_n_	1711	9761	3.8432772E-5
			10)	_ni	1885	7190	2.8309767E-5
			11)	_nl	2920	1277	5.028035E-6
			12)	_ns	3265	743	2.9254738E-6
			13)	_n°	4022	235	9.2528444E-7
		12)	_i	0	0	0.0
			1)	_in	53	555593	0.002187581
			2)	_im	188	192734	7.588671E-4
			3)	_is	406	99253	3.9079683E-4
			4)	_ir	861	41821	1.646652E-4
			5)	_ig	898	39644	1.5609352E-4
			6)	_id	1068	29843	1.1750325E-4
			7)	_il	1568	12571	4.949681E-5
			8)	_it	2012	5682	2.2372196E-5
			9)	_ia	3494	531	2.0907491E-6
			10)	_i_	3580	461	1.8151325E-6
		13)	_m	0	0	0.0
			1)	_ma	64	477933	0.0018818041
			2)	_me	85	391497	0.0015414727
			3)	_mu	179	205632	8.0965145E-4
			4)	_mo	283	137716	5.422403E-4
			5)	_mi	374	107423	4.2296524E-4
			6)	_mé	1351	18339	7.220762E-5
			7)	_má	1756	9070	3.571204E-5
			8)	_mí	1891	7053	2.7770346E-5
			9)	_mã	1965	6112	2.406527E-5
			10)	_mú	2141	4459	1.755678E-5
			11)	_mê	2243	3724	1.4662805E-5
			12)	_mó	3172	844	3.3231493E-6
		14)	_t	0	0	0.0
			1)	_te	74	459889	0.001810758
			2)	_tr	129	262795	0.001034724
			3)	_to	152	237120	9.336317E-4
			4)	_ta	168	213579	8.409418E-4
			5)	_ti	761	48246	1.8996287E-4
			6)	_tê	966	35509	1.3981244E-4
			7)	_tu	1102	28184	1.1097114E-4
			8)	_tã	1376	17571	6.918371E-5
			9)	_té	1825	8068	3.1766787E-5
			10)	_tí	2047	5302	2.0875992E-5
			11)	_tó	2627	2024	7.969258E-6
			12)	_th	3303	704	2.771916E-6
			13)	_tá	3374	639	2.5159861E-6
			14)	_tú	3396	616	2.4254264E-6
			15)	_ts	3880	294	1.1575898E-6
		15)	_é	0	0	0.0
			1)	_é_	89	375389	0.0014780493
			2)	_ét	2240	3735	1.4706116E-5
			3)	_ép	2947	1224	4.8193538E-6
			4)	_ég	3845	315	1.2402749E-6
		16)	_f	0	0	0.0
			1)	_fa	133	253769	9.991851E-4
			2)	_fo	134	253723	9.99004E-4
			3)	_fi	242	157925	6.2181085E-4
			4)	_fu	370	108114	4.2568595E-4
			5)	_fr	693	55444	2.1830412E-4
			6)	_fe	736	50735	1.99763E-4
			7)	_fl	1479	14702	5.788737E-5
			8)	_fá	1975	6022	2.3710905E-5
			9)	_fó	2426	2788	1.0977417E-5
			10)	_fé	2695	1786	7.0321616E-6
			11)	_fí	2779	1608	6.3313078E-6
			12)	_fê	3956	261	1.0276564E-6
			13)	_fô	4026	234	9.2134707E-7
		17)	_à	0	0	0.0
			1)	_à_	158	225773	8.889542E-4
			2)	_às	612	64172	2.526696E-4
			3)	_àq	2470	2607	1.0264751E-5
		18)	_v	0	0	0.0
			1)	_vi	230	165844	6.5299094E-4
			2)	_ve	238	162113	6.3830055E-4
			3)	_vo	417	95363	3.7548042E-4
			4)	_va	636	62363	2.4554686E-4
			5)	_vá	1343	18489	7.2798226E-5
			6)	_ví	1724	9633	3.792879E-5
			7)	_vã	1886	7161	2.8195582E-5
			8)	_vê	2268	3570	1.4056449E-5
			9)	_vu	2321	3272	1.2883109E-5
			10)	_vó	2691	1803	7.0990973E-6
			11)	_vé	3394	621	2.4451133E-6
			12)	_v_	3638	422	1.6615746E-6
		19)	_l	0	0	0.0
			1)	_li	389	102373	4.0308147E-4
			2)	_le	403	100278	3.9483266E-4
			3)	_lu	610	64325	2.53272E-4
			4)	_la	769	47708	1.8784455E-4
			5)	_lo	806	46173	1.8180067E-4
			6)	_lh	1361	18107	7.129415E-5
			7)	_lí	1693	9986	3.9318682E-5
			8)	_lá	2412	2838	1.1174286E-5
			9)	_ló	2466	2614	1.0292313E-5
			10)	_lt	3605	445	1.7521344E-6
			11)	_lê	3834	322	1.2678365E-6
		20)	_g	0	0	0.0
			1)	_gr	395	101343	3.9902597E-4
			2)	_go	448	89410	3.5204118E-4
			3)	_ge	712	54081	2.1293748E-4
			4)	_ga	774	47243	1.8601367E-4
			5)	_gl	1367	17875	7.038068E-5
			6)	_gu	1685	10261	4.040146E-5
			7)	_gé	2129	4548	1.7907207E-5
			8)	_gá	2309	3307	1.3020917E-5
			9)	_gi	3001	1107	4.35868E-6
		21)	_b	0	0	0.0
			1)	_ba	540	73200	2.8821625E-4
			2)	_be	575	69160	2.7230923E-4
			3)	_bo	974	35016	1.3787132E-4
			4)	_br	1311	19642	7.733803E-5
			5)	_bi	1552	12942	5.095758E-5
			6)	_bu	1952	6271	2.4691313E-5
			7)	_bá	2245	3723	1.4658868E-5
			8)	_bl	2293	3395	1.3367407E-5
			9)	_b_	3111	926	3.6460144E-6
			10)	_bú	3402	611	2.4057395E-6
			11)	_bg	3805	333	1.3111477E-6
		22)	_h	0	0	0.0
			1)	_ho	588	66571	2.6211535E-4
			2)	_há	659	58644	2.3090375E-4
			3)	_hu	897	39732	1.5644E-4
			4)	_ha	954	35908	1.4138347E-4
			5)	_hi	1476	14758	5.8107864E-5
			6)	_he	2049	5295	2.084843E-5
			7)	_hú	2525	2388	9.4024645E-6
			8)	_hí	3519	511	2.0120015E-6
			9)	_hã	4025	234	9.2134707E-7
		23)	_j	0	0	0.0
			1)	_ju	609	64342	2.5333895E-4
			2)	_já	670	57804	2.2759635E-4
			3)	_jo	1414	16167	6.365563E-5
			4)	_ja	2583	2171	8.548053E-6
			5)	_je	4057	227	8.937854E-7
		24)	_ú	0	0	0.0
			1)	_úl	1024	32131	1.2651198E-4
			2)	_ún	1347	18426	7.2550174E-5
			3)	_út	2108	4761	1.8745868E-5
		25)	_ 	0	0	0.0
			1)	_  	1036	31603	1.2443303E-4
		26)	_á	0	0	0.0
			1)	_ár	1348	18374	7.234543E-5
			2)	_ág	1829	7989	3.1455733E-5
			3)	_ál	2861	1407	5.5398946E-6
		27)	_â	0	0	0.0
			1)	_âm	1395	16871	6.642755E-5
			2)	_ân	3679	398	1.5670774E-6
		28)	_z	0	0	0.0
			1)	_zo	1570	12494	4.9193633E-5
			2)	_ze	2549	2281	8.981165E-6
			3)	_zu	4052	228	8.9772277E-7
		29)	_ê	0	0	0.0
			1)	_êx	1924	6650	2.6183581E-5
			2)	_ên	2738	1673	6.5872377E-6
		30)	_ó	0	0	0.0
			1)	_ób	2128	4558	1.794658E-5
			2)	_ór	2206	3957	1.5580215E-5
			3)	_óp	2707	1757	6.9179778E-6
			4)	_ód	3291	715	2.8152272E-6
			5)	_ón	3549	481	1.89388E-6
			6)	_ól	3826	324	1.2757113E-6
		31)	_í	0	0	0.0
			1)	_ín	2760	1632	6.425805E-6
			2)	_ím	3607	442	1.7403222E-6
		32)	_x	0	0	0.0
			1)	_xe	3037	1047	4.1224375E-6
		33)	_k	0	0	0.0
			1)	_km	3795	335	1.3190225E-6
		34)	_w	0	0	0.0
			1)	_we	3914	279	1.0985292E-6
	3)	d	0	0	0.0
		1)	de	0	0	0.0
			1)	de_	3	2355757	0.009275512
			2)	des	73	460439	0.0018129236
			3)	der	203	186096	7.327308E-4
			4)	dev	229	166087	6.539477E-4
			5)	dem	281	137876	5.4287026E-4
			6)	dep	325	123348	4.8566802E-4
			7)	dec	410	98454	3.8765086E-4
			8)	den	420	94370	3.715706E-4
			9)	dei	687	55730	2.1943022E-4
			10)	deb	724	52406	2.0634236E-4
			11)	def	759	48845	1.9232136E-4
			12)	det	1077	29298	1.15357376E-4
			13)	del	1158	26043	1.02541206E-4
			14)	deq	1409	16373	6.446673E-5
			15)	deu	1749	9124	3.592466E-5
			16)	dez	1768	8844	3.4822195E-5
			17)	ded	2002	5737	2.2588752E-5
			18)	deç	2050	5289	2.0824806E-5
			19)	dea	2217	3856	1.518254E-5
			20)	deo	2296	3385	1.3328034E-5
			21)	deg	2626	2024	7.969258E-6
			22)	de”	3746	359	1.4135196E-6
		2)	do	0	0	0.0
			1)	do_	11	1404080	0.0055283974
			2)	dos	39	685568	0.002699342
			3)	dor	422	93868	3.6959405E-4
			4)	dom	1033	31740	1.2497246E-4
			5)	dop	1123	27193	1.0706919E-4
			6)	doi	1304	19810	7.799951E-5
			7)	doc	1581	12235	4.817385E-5
			8)	doe	1754	9076	3.5735666E-5
			9)	dou	1817	8183	3.2219585E-5
			10)	dot	1980	5953	2.3439226E-5
			11)	don	2028	5440	2.141935E-5
			12)	dol	2228	3798	1.4954171E-5
			13)	dov	2314	3284	1.2930358E-5
			14)	doa	2392	2943	1.1587711E-5
			15)	doo	2688	1815	7.1463455E-6
			16)	dox	3204	808	3.1814036E-6
			17)	doz	3220	791	3.114468E-6
			18)	dob	3270	737	2.9018495E-6
			19)	do 	3461	556	2.1891835E-6
			20)	dog	3557	478	1.8820679E-6
			21)	doq	3699	386	1.5198289E-6
			22)	do”	3924	274	1.0788423E-6
		3)	da	0	0	0.0
			1)	da_	17	1084127	0.0042686206
			2)	dad	60	503805	0.001983672
			3)	das	76	430011	0.001693117
			4)	dam	492	82120	3.233377E-4
			5)	dar	505	79344	3.1240753E-4
			6)	dat	1318	19248	7.57867E-5
			7)	dan	1365	17964	7.0731105E-5
			8)	dag	1512	13948	5.4918582E-5
