Portuguese	2	714037	280
		8)	im	86	2301	0.0027095675
		9)	ir	92	2173	0.0025588397
		10)	iv	105	1595	0.0018782096
		11)	il	153	951	0.0011198603
		12)	ig	157	905	0.0010656926
		13)	iz	162	868	0.0010221228
		14)	i_	174	734	8.643297E-4
		15)	iç	190	626	7.371531E-4
		16)	if	192	594	6.9947116E-4
		17)	ie	196	576	6.782751E-4
		18)	ib	219	450	5.299024E-4
		19)	ip	254	269	3.1676388E-4
	17)	ç	0	0	0.0
		1)	çã	75	2919	0.0034373002
		2)	çõ	149	1002	0.001179916
		3)	ça	185	671	7.901433E-4
		4)	ço	246	312	3.6739898E-4
	18)	l	0	0	0.0
		1)	la	77	2837	0.0033407402
		2)	li	85	2418	0.0028473423
		3)	l_	94	2049	0.0024128223
		4)	le	108	1547	0.0018216866
		5)	lo	123	1370	0.0016132584
		6)	lh	165	830	9.773755E-4
		7)	lt	180	686	8.0780673E-4
		8)	lu	181	683	8.0427405E-4
		9)	lm	224	438	5.157717E-4
		10)	lí	226	431	5.075287E-4
		11)	lv	242	326	3.8388485E-4
		12)	lg	245	318	3.7446435E-4
	19)	v	0	0	0.0
		1)	ve	82	2661	0.0031334895
		2)	va	102	1683	0.0019818349
		3)	vi	103	1659	0.0019535734
		4)	vo	124	1355	0.001595595
	20)	õ	0	0	0.0
		1)	õe	107	1553	0.001828752
	21)	g	0	0	0.0
		1)	gu	111	1539	0.0018122662
		2)	go	137	1119	0.0013176906
		3)	ga	143	1068	0.001257635
		4)	gr	152	961	0.001131636
		5)	gi	154	924	0.0010880663
		6)	ge	216	467	5.4992095E-4
	22)	h	0	0	0.0
		1)	ho	114	1473	0.0017345472
		2)	ha	164	833	9.809082E-4
		3)	he	211	492	5.7935994E-4
		4)	há	266	225	2.649512E-4
	23)	f	0	0	0.0
		1)	fi	115	1472	0.0017333697
		2)	fo	127	1288	0.0015166984
		3)	fe	144	1063	0.0012517472
		4)	fa	159	892	0.0010503842
		5)	fu	214	474	5.5816385E-4
		6)	fr	250	297	3.4973558E-4
	24)	é	0	0	0.0
		1)	é_	120	1382	0.0016273891
		2)	ém	191	625	7.3597557E-4
		3)	ér	251	289	3.403151E-4
	25)	á	0	0	0.0
		1)	á_	135	1172	0.0013801013
		2)	ár	179	688	8.101619E-4
		3)	áv	257	260	3.0616584E-4
	26)	b	0	0	0.0
		1)	br	158	894	0.0010527394
		2)	ba	161	872	0.0010268331
		3)	bi	187	659	7.760126E-4
		4)	be	193	589	6.9358334E-4
		5)	bé	220	445	5.240146E-4
		6)	bo	230	406	4.780897E-4
		7)	bl	233	385	4.5336093E-4
		8)	bu	265	228	2.6848388E-4
		9)	bj	279	203	2.3904485E-4
	27)	à	0	0	0.0
		1)	à_	163	834	9.820857E-4
		2)	às	258	247	2.9085754E-4
	28)	ê	0	0	0.0
		1)	ên	173	738	8.690399E-4
	29)	z	0	0	0.0
		1)	za	189	643	7.5717166E-4
		2)	ze	199	555	6.535463E-4
		3)	z_	228	412	4.851551E-4
	30)	ó	0	0	0.0
		1)	ór	203	532	6.264624E-4
	31)	í	0	0	0.0
		1)	ít	212	488	5.746497E-4
		2)	ív	227	417	4.9104285E-4
		3)	ís	260	246	2.8967997E-4
		4)	íc	271	215	2.531756E-4
	32)	j	0	0	0.0
		1)	ju	213	486	5.722946E-4
		2)	je	223	441	5.1930436E-4
		3)	ja	232	393	4.6278143E-4
		4)	já	259	247	2.9085754E-4
	33)	x	0	0	0.0
		1)	xi	225	432	5.087063E-4
		2)	xe	270	217	2.555307E-4
